SPK_SPKC01a (no response),SPK_SPKC03a (late inhi?),SPK_SPKC10a (inhi),SPK_SPKC12a (inhi)
458.92415,417.948,427.98175,455.52065
458.968775,417.993825,427.992275,455.564325
458.98215,418.0187,428.031225,455.76965
459.29425,418.062225,428.093275,455.87885
459.39175,418.094025,428.152175,456.245675
459.826875,418.13015,428.1863,456.38525
459.8526,418.184975,428.2911,456.5752
459.883425,418.224525,428.347775,456.640575
459.894975,418.257525,428.390375,456.962375
459.945625,418.29315,428.43745,456.981775
460.024,418.3224,428.47435,457.1336
460.049875,418.35365,428.499575,457.172075
460.111675,418.403125,428.5748,457.270175
460.122075,418.433725,428.627575,457.29615
460.13725,418.460775,428.744275,457.34865
460.14865,418.4779,428.763425,457.49725
460.2486,418.5054,428.776975,457.704
460.465575,418.53035,428.8088,457.78905
460.489225,418.559575,428.872675,457.9341
460.520075,418.585,428.8852,458.04395
460.53025,418.633275,428.939125,458.048575
460.60965,418.67615,428.965975,458.64085
460.63315,418.72105,429.035075,458.8585
460.67145,418.750725,429.05885,459.136925
460.710325,418.793275,429.07995,459.2304
461.236225,418.821875,429.1148,459.313375
461.3221,418.84455,429.135925,459.41365
461.438525,418.875975,429.164,459.611175
461.497975,418.903925,429.299375,459.658275
461.547875,418.93745,429.324525,459.68825
461.56815,418.968975,429.35235,459.808075
461.59665,419.00705,429.3713,459.93535
461.6107,419.031675,429.3974,459.95795
461.639425,419.05935,429.400025,460.11515
461.651925,419.1039,429.4223,460.1535
461.672775,419.1255,429.519,460.17845
461.684175,419.14335,429.57305,460.222875
461.694675,419.16345,429.64545,460.3463
461.720675,419.178875,429.677725,460.404025
461.768425,419.20505,429.70225,460.567275
461.777375,419.224375,429.74225,460.878975
461.7904,419.24455,429.7553,460.97515
461.827375,419.270725,429.792175,461.06255
461.8541,419.306325,429.820775,461.1597
461.892625,419.34445,429.84355,461.190475
461.903725,419.391975,429.881925,461.226675
461.980475,419.418175,430.078975,461.29555
462.1503,419.44855,430.137875,461.4975
462.16205,419.47885,430.167125,461.56555
462.18265,419.506425,430.2365,461.67315
462.19195,419.54185,430.26395,461.7176
462.21035,419.5777,430.329475,461.758175
462.8787,419.610725,430.47245,461.822975
462.9119,419.6489,430.543525,462.023025
462.931975,419.669025,430.641425,462.08525
462.942425,419.70205,430.699275,462.106525
462.974175,419.72425,430.743425,462.131275
462.98035,419.7438,430.78215,462.181575
