SPK_SPKC01a (NA),SPK_SPKC04a (NA),SPK_SPKC11a (excited)
39.7057,,36.210925
39.72195,,36.279
39.81565,,36.33515
39.858,,36.39075
39.886275,,36.44565
39.92355,,36.486175
40.162275,,36.556475
40.309,,36.5931
40.328,,36.61465
40.38065,,36.64365
40.431025,,36.662375
40.4897,,36.706025
40.62545,,36.74645
40.7013,,36.787525
40.724775,,36.831875
40.7328,,36.873475
40.889075,,36.9456
41.015175,,37.02985
41.16775,,37.0584
41.22685,,37.070725
41.24395,,37.1013
41.270275,,37.164775
41.273425,,37.21215
41.30335,,37.289225
41.43135,,37.347775
41.535,,37.3968
41.59545,,37.4152
41.738575,,37.433725
41.741575,,37.454625
41.819325,,37.4795
41.837075,,37.51645
41.93535,,37.546025
41.961475,,37.606575
42.036475,,37.69505
42.049575,,37.772675
42.057775,,37.80635
42.0639,,37.824075
42.12975,,37.85665
42.15845,,37.885475
42.1726,,37.9175
42.331325,,37.950925
42.500125,,37.992625
42.530875,,38.03845
42.56215,,38.096125
42.5824,,38.15055
42.60425,,38.211375
42.692075,,38.2936
42.70605,,38.34705
42.739725,,38.414925
42.768425,,38.451675
42.980325,,38.501925
43.14715,,38.560625
43.152175,,38.60115
43.16955,,38.63155
43.21685,,38.6726
43.235825,,38.72615
43.259,,38.774
43.37575,,38.812
43.395025,,38.85285
43.40575,,38.87515
43.439175,,38.937175
43.5268,,38.995275
43.72895,,39.023275
43.7344,,39.071375
43.80175,,39.1051
43.8245,,39.161225
44.026425,,39.2062
44.1236,,39.2542
44.309625,,39.28305
44.5376,,39.31505
44.662075,,39.347325
44.82625,,39.371225
44.837575,,39.400625
44.8533,,39.426775
44.878275,,39.471275
44.94545,,39.510375
45.017575,,39.585325
45.056875,,39.629875
45.066975,,39.663275
45.092,,39.682175
45.09485,,39.7113
45.118,,39.7545
45.16885,,39.812125
45.21175,,39.8516
45.251375,,39.901725
45.27975,,39.949575
45.32425,,39.986875
45.326075,,40.027675
45.371675,,40.060575
45.536375,,40.076925
45.687175,,40.08815
45.6901,,40.10365
45.871625,,40.124225
45.947225,,40.151225
45.96125,,40.1866
45.99605,,40.23985
46.03835,,40.270125
46.0562,,40.31825
46.1059,,40.3605
46.1883,,40.3965
46.202175,,40.506725
46.22025,,40.5499
46.240775,,40.61685
46.244425,,40.64525
46.2743,,40.65675
46.289125,,40.676025
46.29975,,40.69135
46.34445,,40.716625
46.36905,,40.7479
46.377575,,40.783925
46.5309,,40.799475
46.59075,,40.8241
46.63475,,40.86545
46.670125,,40.939075
46.72945,,41.00875
46.757075,,41.069575
46.8054,,41.134275
46.9946,,41.1729
47.003175,,41.196725
47.036125,,41.245225
47.0475,,41.28005
47.10255,,41.32125
47.109075,,41.35615
47.159575,,41.3906
47.175025,,41.4242
47.208375,,41.4569
47.235875,,41.5059
47.259925,,41.54815
47.37505,,41.612075
47.411725,,41.6727
47.517675,,41.715775
47.64895,,41.770425
47.682725,,41.79975
47.6939,,41.83125
47.703075,,41.857475
47.715,,41.90285
47.796775,,41.923675
47.813375,,41.94715
47.857725,,41.9793
47.868425,,42.009425
47.87375,,42.0515
47.9412,,42.119775
47.973625,,42.146375
48.046725,,42.19095
48.1189,,42.2282
48.1429,,42.312725
48.162825,,42.364175
48.197075,,42.407725
48.4939,,42.470075
48.5055,,42.527575
48.5256,,42.5777
48.573575,,42.684975
48.576975,,42.71445
48.615325,,42.75885
48.774125,,42.807375
49.135825,,42.85645
49.3661,,42.8892
49.413525,,42.941575
49.53015,,42.9992
49.60165,,43.05285
49.652275,,43.088225
49.71245,,43.146525
49.7366,,43.17425
49.8259,,43.212875
50.11415,,43.2491
50.134275,,43.280225
50.159075,,43.295275
50.1711,,43.31615
50.19075,,43.333975
50.2228,,43.353875
50.239425,,43.37335
50.245825,,43.3985
50.27245,,43.45125
50.285275,,43.501725
50.36865,,43.545275
50.486,,43.6072
50.580325,,43.6494
50.635925,,43.672525
50.662275,,43.708975
50.677425,,43.749425
50.689025,,43.7881
50.772225,,43.82775
50.79895,,43.870725
50.834575,,43.89205
50.89375,,43.91545
50.93555,,43.943
50.9467,,43.965675
50.965925,,44.0001
50.979475,,44.0478
51.007925,,44.100075
51.053575,,44.157025
51.05965,,44.19815
51.114975,,44.22665
51.1389,,44.271225
51.1711,,44.30095
51.2511,,44.328175
51.276675,,44.366525
51.312675,,44.423325
51.4521,,44.4703
51.458775,,44.5297
51.475675,,44.5747
51.4816,,44.622225
51.505525,,44.74765
51.544,,44.80135
51.5587,,44.8589
51.586275,,44.88795
51.5926,,44.91655
51.63965,,44.9722
51.67325,,45.0557
51.741325,,45.124875
