SPK_SPKC10a (inhibited),SPK_SPKC14a (weak inhibition)
264.318625,171.59
264.515725,171.784925
264.7113,171.9016
264.97815,172.017575
265.032875,172.08785
265.652,172.11725
265.724125,172.465425
265.815825,172.52245
265.956,172.58405
265.97615,172.64675
266.35705,172.694725
266.714225,172.76915
266.842125,173.108725
266.847875,173.14275
267.301325,173.23595
267.310925,173.54375
267.98925,173.56185
268.3432,173.604075
268.363425,173.629375
268.3817,173.78855
268.70945,173.870025
269.052725,174.052125
269.467025,174.080725
269.472525,174.1228
270.021125,174.1545
270.0906,174.185375
270.37245,174.29315
270.4092,174.4827
270.467875,174.5187
271.0369,174.5593
271.14535,174.60545
271.188775,174.6521
271.200625,174.76545
271.447625,174.804825
