SPK_SPKC04a (inh/exc),SPK_SPKC06a (inhi),SPK_SPKC09a (inhi)
316.834675,354.23655,327.146925
316.84795,354.2946,327.171775
316.85125,354.306825,327.192375
316.88605,354.3176,327.21785
316.902825,354.338825,327.245125
316.9088,354.3731,327.26945
316.911375,354.3943,327.295125
316.92325,354.414375,327.3204
316.947425,354.45025,327.326975
316.962725,354.45945,327.343175
316.968525,354.4695,327.367625
316.97205,354.478775,327.381675
316.9752,354.4876,327.39665
316.98505,354.49455,327.4137
316.9973,354.516025,327.428425
317.0004,354.62275,327.446375
317.0032,354.6778,327.48065
317.014475,354.733975,327.482425
317.02405,354.739325,327.522025
317.0315,354.781425,327.590225
317.035325,354.792425,327.6671
317.046125,354.81325,327.694825
317.0605,354.8222,328.33775
317.071625,354.83935,328.354425
317.080575,354.850025,328.4211
317.098175,354.8529,328.437775
317.111825,354.856375,328.454475
317.118175,354.86425,328.471125
317.1268,354.868525,328.487775
317.13025,354.8766,328.504475
