SPK_SPKC05a (inh),SPK_SPKC09a (inhi),SPK_SPKC14a (no response or late inhi),SPK_SPKC15a (inhi)
127.7785,139.3326,74.537375,106.101275
127.921975,139.5484,74.76595,106.20135
128.181275,139.767925,75.041225,106.2602
128.293225,140.246525,75.1499,106.3442
128.881825,140.91005,75.19875,106.444275
129.02985,142.087275,75.56155,106.53245
129.077875,142.33615,75.598425,106.642375
129.3457,142.7283,75.8322,106.804825
129.631025,142.7857,76.0458,106.95265
129.63745,143.056275,76.2548,107.04745
130.3337,143.4308,76.300075,107.206725
130.673225,143.791525,76.42075,107.389175
130.723725,143.9343,76.452275,107.4659
131.489075,144.1185,76.53555,107.67715
131.672,144.24855,76.7304,107.792375
131.937425,144.409475,76.80465,107.928725
132.512925,144.569725,76.951875,108.010175
132.58735,144.832925,77.032675,108.11695
132.81295,144.9892,77.219325,108.2859
133.14565,146.158475,77.6025,108.403325
133.4066,146.954225,77.618175,108.6504
133.483325,147.563825,77.663125,108.7822
133.9304,147.667275,77.87865,108.9289
133.958525,147.796025,77.95815,109.025625
134.18175,147.93215,78.0057,109.134075
134.237725,148.1878,78.12205,109.181275
134.2767,148.424875,78.19475,109.275725
134.576775,149.123825,78.27175,109.37445
134.6664,150.4479,78.4313,109.420975
134.958325,150.9717,78.5539,109.449525
135.00235,151.31965,78.908625,109.83795
135.0907,151.3609,78.92415,110.005475
135.2621,151.8189,79.16065,110.112325
135.404925,151.89835,79.71385,110.468775
135.69335,153.027225,79.771375,110.556575
135.786625,153.4778,79.890225,110.579225
135.965825,154.0908,80.134275,110.626
136.065775,154.4497,80.275275,110.703025
136.25765,154.6094,80.37585,110.914925
136.37465,155.2584,80.5221,111.022275
136.66,155.583,80.579575,111.10675
136.839225,156.166725,80.71805,111.21575
136.8565,156.53845,80.724775,111.34125
137.141875,156.7823,80.844,111.4279
137.2761,157.320575,80.8534,111.662825
137.508825,157.783175,80.8735,111.930275
137.900375,157.9813,80.94445,112.068575
138.0727,158.2604,80.9533,112.132275
138.375925,158.79715,81.015475,112.1628
138.419225,159.26695,81.05725,112.19855
138.617875,159.388025,81.1402,112.275225
138.983625,159.70305,81.20995,112.330225
139.24415,159.803,81.287025,112.43245
139.5253,160.149775,81.3042,112.528375
139.90105,160.784275,81.30585,112.5918
139.9438,161.058925,81.380825,112.761525
140.229825,161.202525,81.40805,113.022775
140.305525,161.27285,81.478975,113.1839
140.404475,161.39,81.483425,113.4065
140.643975,161.843025,81.5831,113.856725
140.7068,162.054425,81.6832,114.0518
140.952475,162.5042,81.7373,114.603525
141.30325,162.59025,81.818175,114.7896
141.637175,162.66815,81.865525,115.222875
141.870925,162.8753,81.897375,115.33035
142.216325,163.075125,81.915275,115.42665
142.808175,163.22075,81.918775,115.816825
143.637225,163.5513,82.0157,115.9371
143.76695,163.65225,82.06875,116.10345
143.916875,163.9483,82.071525,116.328575
144.944475,164.983975,82.269775,116.61585
145.15975,165.34295,82.36475,116.7805
145.24645,165.428225,82.430575,116.916075
145.459625,165.572375,82.4775,117.1037
145.537775,165.673175,82.59065,117.210925
145.679525,165.771575,82.598575,117.4138
146.3814,165.921775,82.621475,117.53525
146.446425,167.8615,82.6297,117.670325
