SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC08a,SPK_SPKC10b,SPK_SPKC11a
156.1232,191.823575,157.9279,242.241825,164.2259
156.13825,191.903275,157.936225,242.261375,164.24975
156.148725,192.031975,157.9518,242.27225,164.2701
156.1706,192.1903,157.98345,242.288375,164.3344
156.20375,192.3016,158.030125,242.3672,164.384375
156.214975,192.53235,158.04305,243.144075,164.41965
156.2293,192.594975,158.071925,244.58595,164.466275
156.24005,192.607425,158.09605,245.4979,164.481325
156.244575,192.712325,158.118325,247.014975,164.5273
156.29155,192.896925,158.14525,247.657325,164.559275
156.315425,193.2377,158.20535,248.042675,164.571475
156.342025,193.617675,158.214525,248.3034,164.58235
156.3679,194.03695,158.226425,248.47675,164.64695
156.388775,194.1349,158.2501,248.509,164.7126
156.423975,194.44,158.281175,248.795225,164.78815
156.453775,194.460875,158.328675,249.06195,164.8175
156.4826,194.46855,158.37005,249.312375,164.8301
156.5061,194.503975,158.390825,249.320625,164.863925
156.516375,194.521375,158.408475,249.46925,164.89245
156.5531,194.56635,158.42535,249.734825,164.907675
156.59315,194.621925,158.449975,249.75205,164.959
156.623475,194.8015,158.545325,250.08625,164.96755
156.648625,194.852475,158.63115,250.105225,165.013475
156.659475,194.92385,158.65245,250.128375,165.031075
156.67805,194.933175,158.664175,250.169675,165.065825
156.701475,195.05055,158.680925,250.210775,165.154625
156.710875,195.05895,158.716525,250.77615,165.245025
156.71675,195.324225,158.732475,251.185375,165.390125
156.730075,195.375375,158.7473,251.50425,165.398325
156.737875,195.4507,158.767925,251.52655,165.465875
156.752025,195.72225,158.82325,251.849525,165.476075
156.769275,195.805575,158.860125,251.870925,165.487275
156.78525,196.278325,158.90865,252.21295,165.4971
156.804825,196.3753,158.929075,252.224175,165.51195
156.80985,196.613225,158.982175,252.2766,165.526275
156.81425,196.625275,158.99705,252.61425,165.58425
156.81675,196.64665,159.00375,252.654425,165.6006
156.820025,196.78465,159.01015,253.175875,165.633625
156.827525,196.7952,159.01625,253.191775,165.6516
156.834625,196.94185,159.018,253.206025,165.70255
156.849675,197.096675,159.0206,253.23835,165.718575
156.8778,197.113375,159.0263,253.437775,165.787575
156.8899,197.15775,159.034275,253.7791,165.879625
156.909775,197.196225,159.040775,254.088575,165.9523
156.93755,197.215675,159.050775,254.355575,166.036775
156.9998,197.296825,159.064925,255.094325,166.052625
157.0342,197.3526,159.078375,255.1314,166.093275
157.043,197.610775,159.10065,255.1542,166.106925
157.058425,197.68255,159.115225,257.024225,166.128775
157.084325,197.725175,159.140475,257.922375,166.166125
157.0885,198.108475,159.15095,258.01005,166.21025
157.11085,198.13705,159.184375,258.489925,166.2636
157.124575,198.641675,159.199975,258.502925,166.343625
157.1451,198.853275,159.2082,258.903025,166.414925
157.1698,198.8768,159.22125,259.184525,166.485825
157.1761,198.921275,159.236225,259.20235,166.551575
157.189575,199.274725,159.256825,259.23205,166.5632
157.207775,199.451475,159.2632,259.526175,166.598325
157.219525,199.63815,159.270675,259.54865,166.621125
157.223775,199.740275,159.3408,259.62005,166.63355
157.235475,199.78325,159.409025,259.6532,166.641325
157.25195,199.83245,159.4359,260.198575,166.652575
157.269825,200.31015,159.448675,260.210325,166.72405
157.28785,200.3782,159.4754,260.22925,166.7363
157.31705,200.5911,159.49065,260.2512,166.77495
157.322825,200.816025,159.51255,260.26335,166.80555
157.3397,200.82145,159.53825,261.2927,166.82065
157.35155,200.938125,159.55095,261.333175,166.833125
157.3607,200.99135,159.565675,261.355525,166.86265
157.385275,201.05835,159.5812,261.373775,166.92645
157.386675,201.109975,159.5887,262.0667,166.975725
157.4166,201.16165,159.6039,262.0922,167.02835
157.45365,201.244725,159.611725,262.09955,167.1309
157.506075,202.620675,159.631175,262.48925,167.174875
157.535175,202.79655,159.64285,262.504125,167.20675
157.56725,203.1007,159.6511,262.5147,167.2186
157.5907,203.261075,159.671225,262.52775,167.22875
157.67275,203.271875,159.684075,262.551375,167.265025
157.6981,203.303825,159.70365,262.610125,167.272925
157.72075,203.344125,159.71155,263.09115,167.28995
157.788475,203.499675,159.72085,263.116875,167.35065
157.821675,203.595975,159.732225,263.480175,167.50015
157.861175,203.76125,159.75815,263.53245,167.5091
157.8817,203.838125,159.77265,263.879825,167.5197
157.91735,204.2739,159.7946,263.8935,167.53455
157.940425,204.6392,159.806975,263.904775,167.5548
157.9601,204.64145,159.825825,263.923525,167.566325
157.982925,204.6582,159.8511,263.9394,167.58755
158.01085,205.127325,159.872425,263.971025,167.59735
