SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC12c,SPK_SPKC14a
117.4215,196.163225,112.592025,110.224225,128.32705
117.46475,196.2299,112.600525,110.22735,128.334675
117.605625,196.807375,112.628275,110.2446,128.34515
117.740225,196.871175,112.630775,110.260125,128.361825
117.78945,197.003675,112.72955,110.274475,128.41455
117.797475,197.0556,112.7612,110.29895,128.42715
117.8173,197.0806,112.792225,110.317325,128.561925
117.873775,197.177475,112.8131,110.3364,128.636175
117.929025,197.239625,112.826375,110.337925,128.714625
117.95345,197.599125,112.84065,110.3512,128.728075
117.976175,197.7564,112.862025,110.354675,128.736525
117.996675,197.784625,112.882725,110.375775,128.760175
118.076675,197.92155,112.8947,110.38755,128.786875
118.09065,198.20375,112.974875,110.40325,128.818075
118.113075,198.310775,112.98865,110.41945,128.843775
118.13595,198.614125,113.02975,110.437375,128.84825
118.1409,199.400275,113.03885,110.4514,128.85585
118.1572,199.408975,113.0454,110.468125,128.952775
118.164325,199.458075,113.057775,110.48425,129.058975
118.207375,199.500475,113.09315,110.496575,129.108925
118.283375,199.809125,113.0991,110.552275,129.143525
118.387525,200.077675,113.1724,110.555625,129.15525
118.41855,200.287525,113.18325,110.56915,129.159725
118.42685,200.3706,113.193925,110.588925,129.17955
118.4335,200.388575,113.214325,110.605225,129.253225
118.440225,200.61375,113.2271,110.62155,129.285025
118.44675,200.675725,113.239175,110.6413,129.298875
118.532225,200.720375,113.24865,110.6671,129.314225
118.6445,200.83225,113.2671,110.6798,129.3477
118.668025,201.319825,113.2822,110.682575,129.38155
118.6883,201.445725,113.30415,110.7014,129.40865
118.743675,201.549425,113.3406,110.724,129.45435
118.792675,201.901975,113.364275,110.732525,129.60785
118.829975,201.932925,113.37385,110.8096,129.636375
118.85125,202.096925,113.3942,110.82315,129.662475
118.859575,202.229975,113.40735,110.8622,129.673225
118.8733,202.459875,113.418525,110.880325,129.7743
118.882425,202.5088,113.428925,110.922925,129.865075
118.8921,202.523475,113.442925,110.937225,129.963925
118.913825,202.7219,113.4566,110.9543,129.9784
118.978925,202.88065,113.467325,110.9735,129.992325
119.01,202.967525,113.491675,111.021575,130.05275
119.0244,203.118225,113.505525,111.0462,130.085025
119.051125,203.414175,113.5346,111.06185,130.12195
119.0644,203.534225,113.546825,111.080875,130.276275
119.10845,203.5579,113.586075,111.1019,130.325925
119.1186,203.573325,113.612125,111.117825,130.344775
119.19375,203.77905,113.634025,111.123325,130.4482
119.2279,203.821475,113.65785,111.154275,130.46165
119.2533,203.82945,113.6797,111.171075,130.47105
119.27495,203.86855,113.694925,111.2036,130.652725
119.286,204.337775,113.701675,111.22215,130.71215
119.315525,204.4217,113.732975,111.25825,130.801825
119.3265,204.442875,113.797375,111.3345,130.808475
119.331825,204.476875,113.8505,111.35845,130.820425
119.40935,204.820225,113.8691,111.37655,130.8289
119.423,204.8438,113.88075,111.3983,130.837375
119.43715,204.9543,113.89375,111.432375,130.8557
119.4905,205.0529,113.9201,111.47075,130.87025
119.5514,205.153275,113.932575,111.493125,130.8773
119.585675,205.206725,113.939275,111.54605,130.913275
119.606575,205.2907,113.952375,111.566475,130.9518
119.6129,205.36245,113.966825,111.583125,131.01775
119.6767,205.525375,114.01795,111.58935,131.07115
119.684175,205.828425,114.0707,111.601975,131.169425
119.708125,206.11715,114.079,111.6236,131.2124
119.783725,206.3722,114.09,111.6502,131.25905
119.961075,206.4498,114.127675,111.67485,131.2763
120.0019,206.595375,114.1711,111.700225,131.322525
120.199925,206.608025,114.184025,111.719075,131.37975
120.222075,206.62455,114.19475,111.732975,131.4911
120.23705,206.6842,114.223425,111.759125,131.50575
120.264375,206.736275,114.227175,111.793875,131.519825
120.316525,206.957375,114.245425,111.8024,131.55755
120.330375,207.0856,114.2624,111.811575,131.56155
120.37035,207.143575,114.34375,111.8548,131.606575
120.389825,207.2076,114.388075,111.8628,131.704475
120.4024,207.221025,114.42785,111.87585,131.745475
120.45595,207.34745,114.43895,111.88935,131.76715
120.46545,207.97005,114.444775,111.9005,131.85845
120.471325,208.06995,114.45315,111.918,131.95125
120.4772,208.3179,114.471175,111.9378,132.047225
120.489175,208.389875,114.48585,111.95295,132.153425
120.504425,208.453625,114.4983,111.990025,132.16645
120.592925,208.519625,114.54695,112.032675,132.188325
