SPK_SPKC01a (inhi),SPK_SPKC04a (inhi),"SPK_SPKC05a (sharp exc, maybe artef)",SPK_SPKC10a (inhi)
26.407125,70.83545,25.992025,82.733875
26.408625,71.1959,26.044175,82.82975
26.461625,71.212225,26.3333,82.96695
26.5242,71.4685,26.341125,83.03325
26.596575,71.471175,26.354575,83.244225
26.6185,71.47505,26.36135,83.564025
26.63915,71.745825,26.3787,83.95175
26.690625,71.793425,26.3941,84.082975
26.9195,72.242675,26.4083,84.121275
26.96675,72.8754,26.421225,84.152625
27.0365,72.889725,26.425975,84.306725
27.101825,72.911975,26.4332,84.434375
27.117525,72.94185,26.4375,84.572125
27.156125,72.969425,26.462775,84.69975
27.1787,72.987,26.473175,84.7435
27.298275,73.01555,26.48065,84.815975
27.328975,73.03225,26.489075,85.113225
27.4261,73.044775,26.502175,85.134525
27.44835,73.061625,26.508725,85.165975
27.54505,73.080825,26.517825,85.237325
27.554875,73.096925,26.52925,85.28695
27.62705,73.109725,26.538625,85.680175
27.666375,73.168975,26.5551,85.7903
27.84275,73.202125,26.591625,86.065675
27.8748,73.2158,26.64185,86.2751
27.888,73.2267,26.694575,86.5865
27.939675,73.2456,26.722075,86.6727
28.07625,73.255775,26.810775,86.74845
28.118825,73.306675,26.87505,86.808325
28.140925,73.319625,26.88525,86.935025
28.154675,73.349775,26.90495,87.207575
28.19745,73.613425,26.909825,87.276275
28.2122,73.6595,26.915125,87.3368
28.2289,73.688675,26.92385,87.375
28.29985,73.69505,26.933925,87.60455
28.342375,73.700375,26.944625,87.9024
28.368525,73.7082,26.9549,87.9404
28.419325,73.7258,26.98355,87.980075
28.44425,73.7918,27.057125,87.99675
28.501375,73.8208,27.3016,88.14675
28.52525,74.26285,27.3101,88.282925
28.5353,74.29175,27.3199,88.42875
28.5576,74.322475,27.32505,88.502675
28.56095,74.343275,27.3471,88.8975
28.580325,74.372125,27.354775,89.097825
28.61685,74.8196,27.367825,89.234225
28.63075,74.8559,27.372125,89.304425
28.64075,74.86995,27.400125,89.339325
28.7083,74.876175,27.419075,89.579975
28.91815,74.882225,27.43525,89.642425
28.944425,74.904175,27.444725,89.784425
29.002875,74.91305,27.46075,89.820675
29.02375,74.932075,27.4984,89.965425
29.044275,74.956025,27.507,90.069575
29.066675,75.024,27.5638,90.1561
29.0795,75.408425,27.653925,90.212575
29.10615,75.433,27.80805,90.24645
29.154225,75.695,27.825925,90.28785
29.236875,75.7073,27.846375,90.30805
29.257625,75.720625,27.9238,90.50615
29.276175,75.754525,28.141925,90.534125
29.35935,75.97735,28.172725,90.58555
29.489175,76.546775,28.182225,90.609975
29.50925,76.5658,28.220075,90.7894
29.534225,76.576675,28.29245,90.914275
29.5605,76.59965,28.327975,90.928975
29.56305,76.97785,28.5497,91.011425
29.60405,77.0018,28.563675,91.159825
29.68175,77.027375,28.5841,91.164775
29.703775,77.0528,28.59985,91.3392
29.726975,77.0743,28.6704,91.38645
29.75525,77.689325,28.686175,91.432175
29.798275,77.695325,28.69585,91.483525
29.838625,77.71385,28.719575,91.599125
29.874075,77.731575,28.729075,91.715575
29.907725,78.120575,28.858275,91.834025
29.939675,78.676375,28.997975,91.8589
30.14305,78.704375,29.0334,91.9456
30.173225,78.726575,29.066875,92.0006
30.341675,79.112925,29.297525,92.0306
30.36345,79.115975,29.33585,92.05145
30.394,79.12545,29.848425,92.2514
30.4418,79.148975,29.861175,93.071325
30.508025,79.199025,29.8754,93.100125
30.620125,79.48845,29.893975,93.1269
30.688025,79.512,29.909325,93.564
30.721125,79.529875,29.93405,93.63795
30.738325,79.863325,30.2617,93.80985
30.75785,79.889025,30.27535,94.18175
30.803175,79.90435,30.30135,94.379925
30.845875,80.741825,30.325125,94.499325
30.854225,80.80535,30.340225,94.5722
30.930225,81.42745,30.37965,94.678875
30.95645,81.457675,30.40735,94.7747
30.9676,81.509125,30.425625,94.867325
30.9725,82.158675,30.463475,95.159525
30.999125,82.180125,30.76665,95.28765
31.028925,82.233,30.77965,95.488775
31.05625,82.268125,30.792525,95.564325
31.0781,82.293625,30.803725,95.599075
31.23135,82.7833,30.81805,95.818525
31.35115,82.796075,30.8273,95.83985
31.371275,82.827575,30.837375,95.856675
31.399725,82.859525,30.850175,95.895825
31.4124,82.945625,30.88875,96.09905
31.433575,82.9767,30.906125,96.237575
31.47015,83.3096,30.92425,96.31895
31.48425,83.3163,31.0742,96.357625
31.5233,83.328075,31.101825,96.395575
31.55385,83.33695,31.6534,96.489175
31.60265,83.355175,31.68495,96.506225
31.6232,83.435975,31.708425,96.5417
31.70665,84.1673,32.430525,96.943575
31.754125,84.49965,32.4431,97.1773
31.7967,85.13125,32.468825,97.247775
31.865025,85.145675,32.490375,97.317025
31.906425,85.170125,32.5071,97.3517
31.923625,85.23045,32.534725,97.455175
31.976375,85.87175,32.563625,97.57205
32.044375,86.58945,32.61675,97.758125
32.111075,86.598675,32.938075,97.856275
32.173475,86.602325,32.987075,98.0638
32.194975,86.881125,33.06825,98.16085
32.214375,88.760225,33.090025,98.2308
32.249425,88.785275,33.114225,98.3028
32.3059,88.8242,33.131825,98.421025
32.3407,89.076625,33.152125,98.789575
32.398325,89.08265,33.650775,98.859475
32.4576,89.1421,33.686325,99.178225
32.4693,89.22425,33.694175,99.34605
32.50525,89.641025,33.698675,99.429575
32.53905,89.6618,33.715,99.791375
32.55485,89.6775,33.759425,99.82935
32.6059,89.686175,33.7661,99.9893
32.6259,89.7031,33.77885,100.046275
