SPK_SPKC08a (no response),SPK_SPKC09a (no response)
258.851725,296.8381
258.93415,296.846075
258.992725,296.8852
259.00905,296.905075
259.06785,297.182225
259.098725,297.211375
259.147925,297.383725
259.2611,297.4898
259.319475,297.57675
259.3413,297.752175
259.358375,297.807225
259.412525,298.0246
259.434775,298.12285
259.47555,298.1665
259.51585,298.28045
259.596675,298.51645
259.6579,298.562625
259.726525,298.586975
259.79695,298.59655
259.849725,298.628725
259.8731,298.70295
259.9961,298.786625
260.056175,299.012075
260.090525,299.07385
260.091925,299.253225
260.119125,299.274375
260.192625,299.609125
260.22305,299.643225
260.261575,299.671825
260.29045,299.7181
260.3433,299.824975
260.44125,300.09145
260.458575,300.15055
260.471725,300.216675
260.492325,300.3813
260.568375,300.430625
260.62395,300.45135
260.68895,300.52435
260.74915,300.551025
260.773825,300.56095
260.829825,300.58125
260.86285,300.705825
260.968825,300.71115
260.9857,300.715325
261.0147,300.809825
261.052625,300.812425
261.098475,300.855525
261.125425,300.87955
261.1989,300.9285
261.25,300.9533
261.28725,301.0798
261.336,301.157225
261.469075,301.405575
261.503275,301.489025
261.5311,301.57645
261.61045,301.58065
261.686575,301.692775
261.76805,301.811325
261.8305,301.856825
261.872825,301.947425
261.8741,301.9614
261.8879,302.064175
261.919,302.198625
261.955375,302.224575
261.976075,302.52975
262.001425,302.55975
262.0193,302.56525
262.10345,302.64265
262.187825,302.651525
262.24045,302.757575
262.26395,302.773225
262.32795,302.781
262.38755,302.801625
262.484225,302.820675
262.48555,302.93335
262.558925,302.964675
262.595825,302.98325
262.643525,302.9992
262.68615,303.03225
262.724025,303.066425
262.761625,303.0921
262.82295,303.1059
262.854875,303.3027
262.900875,303.35565
262.98325,303.384675
263.054675,303.4222
263.060075,303.452225
263.0712,303.487225
263.113275,303.571875
263.151125,303.60085
263.1528,303.63535
263.166925,303.7735
263.219225,303.804975
263.2251,303.854725
263.253275,303.87155
263.3469,303.993875
263.37925,304.0553
263.438975,304.057575
263.470075,304.0791
263.4996,304.13755
263.566325,304.32775
263.616425,304.388675
263.618,304.423925
263.671225,304.473775
263.672625,304.557025
263.73505,304.568075
263.755425,304.8625
263.78055,304.8673
263.8217,304.90455
263.866675,304.9407
263.995175,304.960175
264.070575,304.980375
264.15815,304.9915
264.2315,305.1038
264.33255,305.1284
264.37335,305.13785
264.4236,305.146075
264.4888,305.197075
264.572675,305.40685
264.599275,305.69195
264.656375,305.71495
264.710975,305.71915
264.74545,305.788975
264.776975,305.856275
264.79855,305.96435
264.874975,306.1031
264.8945,306.162675
264.895975,306.255025
264.949975,306.39685
265.0252,306.45335
265.058275,306.521775
265.111275,306.588825
265.1371,306.6018
265.17575,306.61565
265.224775,306.624625
265.29185,306.642225
