SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC04c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC12c
202.521175,213.632125,204.62125,212.607525,209.8351,210.224525,204.13625
202.54005,213.67025,204.630575,212.80765,209.87335,210.282025,204.16235
202.55315,213.734375,204.6578,212.86815,209.9182,210.425825,204.192675
202.56585,213.825525,204.69015,212.91895,209.986575,210.4883,204.218875
202.58915,213.855425,204.70395,212.9692,210.013225,210.527475,204.2599
202.601525,213.885225,204.741125,213.171775,210.114875,210.588375,204.36775
202.62015,213.936175,204.76025,213.2279,210.126425,210.716425,204.39065
202.64175,214.03725,204.86495,213.2771,210.210025,210.791225,204.420775
202.65795,214.0725,204.886375,213.321175,210.2278,210.843275,204.443275
202.696775,214.3945,204.89225,213.3976,210.31775,210.893825,204.46965
202.7188,214.467825,204.936525,213.5658,210.344525,210.92455,204.496025
202.74865,214.51925,204.962675,213.618275,210.426075,210.9668,204.515475
202.776825,214.572225,204.9797,213.666275,210.4866,211.0172,204.564425
202.809875,214.903175,205.028825,213.729925,210.518975,211.137575,204.58905
202.83835,214.992325,205.0582,213.786575,210.792625,211.166875,204.624425
202.857925,215.0227,205.083,213.8806,210.8106,211.26175,204.651275
202.869875,215.059325,205.10425,213.9859,210.84205,211.311325,204.681525
202.8912,215.126525,205.148675,214.0444,210.894475,211.37395,204.703025
202.927725,215.2087,205.187,214.07585,210.91365,211.418025,204.72985
202.955425,215.25295,205.23945,214.119925,210.97255,211.49245,204.748325
202.96645,215.36285,205.242625,214.358375,210.997225,211.5642,204.765525
202.991,215.412875,205.268025,214.409925,211.011575,211.617225,204.7912
203.0013,215.4315,205.30025,214.510375,211.020675,211.6688,204.826125
203.013775,215.473825,205.337,214.571425,211.225925,211.733425,204.85695
203.030975,215.50495,205.3925,214.618675,211.240675,211.8291,204.884275
203.06415,215.5845,205.41715,214.6721,211.342825,211.887325,204.913275
203.08005,215.67185,205.44495,214.95835,211.39205,211.96415,204.977925
203.0904,215.7736,205.471475,215.0115,211.439175,212.010125,205.00905
203.111625,215.980475,205.51225,215.05275,211.57065,212.047225,205.041925
203.134175,216.0662,205.5562,215.112325,211.595475,212.086775,205.0663
203.161425,216.120175,205.585275,215.178525,211.7477,212.264275,205.090225
203.17735,216.196075,205.622825,215.289025,211.7573,212.31125,205.1107
203.186875,216.246275,205.637825,215.344325,211.774825,212.350275,205.132075
203.23055,216.27915,205.690275,215.4456,211.79485,212.392525,205.158425
203.244175,216.34345,205.704875,215.49705,211.84085,212.528625,205.18115
203.26325,216.374325,205.730375,215.54615,211.98275,212.6044,205.21185
203.27685,216.55005,205.785,215.60345,212.011825,212.638,205.23355
203.29055,216.606975,205.812675,215.66145,212.068125,212.6773,205.275025
203.311575,216.711475,205.873175,215.813575,212.262575,212.820775,205.3168
203.3217,216.7458,205.888525,215.9217,212.2778,212.874075,205.373375
