SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC14a,SPK_SPKC16a
64.288225,32.3826,239.6845,175.86475,194.680225,44.77175,35.99365
64.70525,32.42045,239.74515,176.23115,194.965125,45.0635,36.012125
65.123475,32.659,240.81355,176.607625,195.737775,45.07065,36.02585
65.181425,32.79,241.396475,176.66725,195.931075,45.0801,36.051925
65.306075,32.842775,241.42295,177.176175,196.1086,45.09805,36.299075
65.381,32.88245,242.186,177.2884,196.45345,45.1292,36.3485
65.441025,32.920825,242.754975,177.395675,196.90255,45.384525,36.35735
65.8948,32.97555,243.227625,178.145475,197.1849,45.42315,36.377925
65.94435,33.057975,243.490175,178.16235,197.610675,45.50585,36.3833
66.24175,33.125375,243.812375,178.36635,198.812575,45.57705,36.459175
66.3162,33.208075,244.205225,178.721025,198.919075,45.627275,36.46335
66.382575,33.2508,244.755025,178.99105,199.123575,45.739175,36.49305
66.800025,33.4294,245.0059,179.02875,199.685925,45.8925,36.6186
67.648925,33.4844,245.072625,179.049725,199.8117,45.96005,36.653675
67.86515,33.5613,245.37605,179.085475,200.295775,46.02715,36.669425
67.918825,33.658825,245.535425,179.212825,200.341,46.036225,36.73615
68.10845,33.6697,245.704825,179.517525,200.646775,46.11955,36.752
68.186025,33.70825,246.334775,179.558225,201.5273,46.39925,36.82125
68.50425,33.820125,246.602975,179.640475,201.56,46.41215,36.958
68.58435,33.868075,246.916775,179.755875,202.279225,46.42645,36.96325
68.78895,33.908525,247.631125,179.83485,202.62915,46.4348,37.133825
68.908575,33.944575,248.0065,180.58685,202.7859,46.44325,37.19955
69.08995,33.98095,248.627925,180.601675,203.5836,46.46675,37.215675
69.2527,34.02415,248.75325,180.6587,203.985025,46.500725,37.348675
69.85385,34.1055,249.7211,180.74845,204.21645,46.53205,37.369475
69.913175,34.206775,250.012175,181.184425,204.289725,46.57725,37.64365
70.09695,34.239525,250.0728,181.312325,204.639925,46.660825,37.770075
70.26125,34.363075,250.525425,181.73165,204.645125,46.80775,37.815875
70.5772,34.413925,250.80445,181.93135,204.6581,46.8524,38.0807
70.66085,34.471875,251.800775,182.325675,205.19275,46.875425,38.249925
70.769425,34.50625,252.02595,182.60185,205.544175,46.888175,38.28735
71.0496,34.541575,252.05795,182.921025,205.65815,46.891925,38.381325
71.498825,34.587775,252.3568,183.007475,206.064025,46.9003,38.47095
71.611025,34.618975,252.845675,183.056075,206.078075,46.904425,38.5077
72.2921,34.644925,253.00645,183.19845,206.143575,46.908875,38.80275
72.372275,34.67435,254.169825,183.453125,206.8866,46.922075,38.904325
