SPK_SPKC09c (exc),SPK_SPKC11a (exc),SPK_SPKC13a (exc),SPK_SPKC13b (inhib)
863.089725,820.9321,813.338025,813.13235
863.468275,821.0093,813.356275,813.170125
864.01805,821.064425,813.3712,813.20795
864.806875,821.103775,813.410525,813.3898
865.3438,821.119825,813.47145,813.421325
865.4693,821.178025,813.553125,813.524575
865.55255,821.21125,813.611525,813.544375
865.610325,821.24975,813.63905,813.5806
865.77615,821.264825,813.666375,813.608325
866.619975,821.297975,813.711175,813.644325
867.0478,821.3131,813.729775,813.675325
867.3374,821.333275,813.733825,813.693475
867.70745,821.37185,813.744475,813.7737
867.723125,821.412925,813.75825,813.829725
868.030925,821.5123,813.77525,813.8629
868.126725,821.5762,813.82325,813.893275
868.391125,821.710275,813.859,813.914925
869.1373,821.77105,813.879875,813.9498
869.1858,821.860575,813.9439,813.97345
870.50175,821.93535,814.014375,814.0047
870.586875,822.026725,814.048975,814.031375
870.6081,822.05825,814.085475,814.04005
871.0665,822.104325,814.120125,814.061075
871.333675,822.127175,814.15345,814.076125
871.7233,822.15785,814.1638,814.09845
871.782125,822.196925,814.18415,814.1411
872.09245,822.223675,814.211675,814.1949
872.195075,822.250575,814.2389,814.224275
872.9213,822.2952,814.2956,814.24345
873.023425,822.374025,814.340825,814.266125
873.1808,822.41615,814.39805,814.289375
873.32115,822.52765,814.4325,814.310675
873.3726,822.642575,814.462,814.364375
873.3752,822.688025,814.496375,814.3811
873.382925,822.752375,814.51495,814.401775
873.495775,822.8119,814.538575,814.422275
873.5187,822.846075,814.571425,814.438975
873.75235,822.872675,814.5912,814.455125
874.125425,822.91335,814.600475,814.4808
874.45865,822.943025,814.621075,814.524075
874.553125,822.9616,814.6445,814.5353
875.185875,823.010475,814.71455,814.567525
875.23055,823.059975,814.737075,814.59385
875.50015,823.137525,814.769475,814.618375
875.54565,823.281275,814.7901,814.68695
875.643175,823.35965,814.84175,814.735875
875.72785,823.437375,814.871675,814.771025
876.49085,823.456575,814.87875,814.8194
877.117975,823.47885,814.91165,814.84075
877.16305,823.52175,814.938325,814.8765
877.265525,823.553125,814.95905,814.909725
877.294925,823.5815,815.0603,814.9342
877.3149,823.62545,815.0802,814.98345
