SPK_SPKC02b,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC13a
3267.594925,3248.248625,3221.327425,3211.799975,3255.559775
3267.656575,3248.64605,3221.48135,3211.814025,3255.75455
3267.715475,3248.66795,3221.50165,3211.8571,3255.840825
3267.9294,3248.964425,3221.536875,3211.8792,3256.0077
3267.975225,3249.369475,3221.58525,3211.897025,3256.02855
3268.037425,3249.3826,3221.628125,3211.9795,3256.070325
3268.067225,3249.8034,3221.672775,3211.998125,3256.10605
3268.1157,3249.85475,3221.7055,3212.002075,3256.201125
3268.13695,3249.99145,3221.718825,3212.00575,3256.379425
3268.297725,3250.132925,3221.73205,3212.012075,3256.5001
3268.51055,3250.148175,3221.764675,3212.0799,3256.742025
3268.874225,3250.421025,3221.951075,3212.088325,3256.776825
3269.192375,3250.466625,3221.9645,3212.098875,3256.864425
3269.336825,3250.575625,3221.973275,3212.129125,3256.896925
3269.622175,3250.611175,3222.01065,3212.15715,3257.12725
3269.7812,3250.74585,3222.051475,3212.203675,3257.1722
