SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
515.1508,552.647975,644.81205
515.163275,552.7184,645.46025
515.175425,552.864075,645.9149
515.18435,552.904925,645.93875
515.197575,553.0953,646.005875
515.207525,553.219175,646.6591
515.218125,553.329525,646.785725
515.252375,553.372525,647.199375
515.279,553.445575,647.324525
515.29915,553.482975,647.9356
515.321025,553.5254,648.1294
515.332575,553.6829,648.2565
515.3538,553.746225,648.80325
515.36595,553.756225,649.253
515.40995,553.84795,649.9208
515.59155,553.89745,650.1583
515.609975,554.09215,650.270925
515.62755,554.2097,650.46355
515.6423,554.4069,651.083475
515.6552,554.47325,651.149125
515.67275,554.58735,651.272675
515.7526,554.631875,651.282575
515.7688,554.655325,651.68155
515.806475,554.67935,652.27505
515.98765,554.7473,652.553375
516.018075,554.93845,652.74595
516.03325,555.012475,652.763525
516.041575,555.2522,652.786725
516.06375,555.331825,652.8367
516.09585,555.34525,653.4032
516.11685,555.46655,653.59695
516.135125,555.6278,653.778975
516.14285,555.668425,653.96935
516.158075,555.67785,654.1001
516.18095,555.73485,654.59655
516.19755,555.78455,655.157475
516.208,555.9736,655.48335
516.22595,555.9997,655.642825
516.245925,556.03385,656.001625
516.261625,556.129225,656.272575
516.274775,556.294175,656.414475
516.297225,556.852475,656.43815
516.321225,556.97685,656.660125
516.343125,557.028475,656.6767
516.37885,557.0408,656.731475
516.4191,557.05095,656.76085
516.44115,557.07885,657.64565
516.455075,557.45715,657.9599
516.475275,557.6453,658.2181
516.490175,557.809925,658.59005
516.52045,557.906925,658.735575
516.573,557.9584,658.94435
516.584025,557.988975,659.464975
516.606875,558.201325,660.32085
516.615775,558.2514,661.384025
516.62665,558.348825,661.59955
516.63695,558.36735,662.416875
516.658025,558.37975,662.93935
516.66895,558.477875,663.0165
516.695025,558.65015,663.125275
516.7055,559.158775,663.60895
516.717425,559.260325,663.779775
516.738575,559.43865,663.7896
516.757675,559.597425,663.929325
516.777125,559.789,664.23115
516.78695,559.8183,664.27475
516.7992,559.877825,664.302
516.812025,559.9315,664.40115
516.86505,559.949275,665.00135
516.95495,560.030875,665.11075
516.972525,560.038575,665.436375
516.9808,560.067675,665.816525
516.990175,560.072625,667.070325
517.0049,560.20305,667.923675
517.0133,560.265175,668.80945
517.028525,560.477725,669.016025
517.040225,560.788275,669.233725
517.0553,560.83045,669.5227
517.083125,561.160625,669.747525
517.096875,561.19805,669.8156
517.11775,561.233525,670.338625
517.1401,561.365825,670.564975
517.1665,561.493175,670.576025
517.183225,561.622825,670.71495
517.39995,561.75545,670.74235
517.425525,561.84125,670.7675
517.441425,561.8812,670.7995
517.456525,562.117225,670.9093
517.46245,562.38975,671.565075
517.477,562.52165,671.584625
517.48785,562.64445,671.794825
517.49815,562.65815,672.258825
517.518125,562.691475,672.280775
517.52845,562.9252,672.5496
517.5428,562.982675,672.6448
517.56585,563.0291,672.81
517.578325,563.03925,673.04155
517.59995,563.1922,673.263275
517.65285,563.3479,673.410425
517.6697,563.4242,673.4708
517.6984,563.447825,673.613875
517.885225,563.731475,673.7715
517.910225,563.741875,673.90475
517.919075,563.829075,673.943325
517.92845,564.282425,674.030175
517.942525,564.32785,674.514175
517.95985,564.5274,675.066075
517.987825,564.663725,675.097275
518.005875,564.767275,675.652675
