SPK_SPKC06a (excited),SPK_SPKC12a (no effect),SPK_SPKC12b (NA),SPK_SPKC16a (no effect),SPK_SPKC16b (short inhibition)
26.167375,43.8505,16.805125,229.84535,131.0537
26.1743,43.8516,16.846825,230.39905,131.081825
26.235325,43.977625,16.88205,230.869475,131.10985
26.2488,44.0394,16.91575,231.2309,131.509325
26.2697,44.057375,16.92745,231.267675,131.678775
26.27455,44.305025,16.941425,231.28415,131.9419
26.3082,44.317875,16.951225,231.327075,132.0369
26.360075,44.354475,17.0351,231.37195,132.081625
26.405725,44.403175,17.068925,231.37985,132.09765
26.4544,44.411825,17.151725,231.694825,132.218175
26.459925,44.501975,17.189825,232.056325,132.267725
26.4759,44.505875,17.220175,232.194675,132.6225
26.56235,44.5349,17.249075,232.38115,132.676
26.6366,44.635625,17.266825,232.6701,132.76295
26.66425,44.644475,17.294175,232.748675,133.0217
26.676425,44.859275,17.302925,232.951375,133.183925
26.74185,45.007925,17.3151,233.136575,133.213475
26.8006,45.044875,17.346875,233.161325,133.21465
26.804275,45.321025,17.37955,233.479075,133.268475
26.876325,45.386375,17.418875,233.495325,133.346225
26.970775,45.427525,17.4617,233.5273,133.4576
26.982675,45.794275,17.565125,234.14265,133.599575
27.090425,45.831025,17.621225,234.2529,133.687475
27.117375,45.861325,17.6385,234.279225,133.8385
27.1397,45.920325,17.64965,234.5621,134.0409
27.152925,45.9754,17.665225,235.0461,134.5921
27.219025,46.059725,17.683925,235.09055,134.6127
27.2425,46.07485,17.711075,235.63055,134.7971
27.256475,46.114675,17.730675,235.90155,134.934225
27.26475,46.193225,17.756025,236.5071,134.99955
27.281125,46.217425,17.773675,236.605425,135.00385
27.284775,46.259,17.804175,238.020775,135.2271
27.30675,46.3788,17.82925,238.072125,135.33945
27.34405,46.40905,17.852,238.151075,135.59575
27.357625,46.41635,17.888975,238.313425,135.660725
27.3701,46.477725,17.911425,238.3665,135.783475
27.4179,46.519375,17.941375,238.36925,135.966275
27.433875,46.5631,17.967775,238.582475,135.989475
27.44365,46.5664,17.9708,239.385075,136.0588
27.493425,46.57,18.074025,239.39205,136.0733
27.52685,46.591975,18.141225,239.4458,136.1262
27.585425,46.712575,18.160125,240.02975,136.43445
27.60655,46.734075,18.2071,240.30315,136.609825
27.61745,46.786125,18.242,240.475675,136.6117
27.6781,46.867875,18.28475,240.663725,136.650625
27.709225,46.9961,18.31705,240.719925,136.736375
27.8312,47.050125,18.339125,241.206175,136.781775
28.181825,47.140075,18.34705,241.36715,136.7833
28.329075,47.190125,18.37525,242.078725,136.809275
