SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC13b,SPK_SPKC13c
198.326475,,,,,3744.132575
198.339,,,,,3745.4383
198.60755,,,,,3745.8964
198.65505,,,,,3746.562675
198.671575,,,,,3746.762025
198.7186,,,,,3746.94235
198.791575,,,,,3747.1818
198.85525,,,,,3747.4056
198.86205,,,,,3747.58755
199.63895,,,,,3748.1114
199.7355,,,,,3748.399825
199.994875,,,,,3749.120875
200.115075,,,,,3749.5407
200.171675,,,,,3749.7493
200.266475,,,,,3749.8875
200.279875,,,,,3750.0093
200.293925,,,,,3750.17295
200.32855,,,,,3750.329025
200.4422,,,,,3750.636875
200.523025,,,,,3750.8736
200.594825,,,,,3751.002675
200.687225,,,,,3751.277975
200.702475,,,,,3751.8144
200.843625,,,,,3752.116125
200.86995,,,,,3752.376725
200.9289,,,,,3752.730775
201.01445,,,,,3752.964075
201.07375,,,,,3753.272775
201.147025,,,,,3754.449725
201.328775,,,,,3754.8108
201.5245,,,,,3755.126575
201.53755,,,,,3755.7598
201.56875,,,,,3756.1266
201.603925,,,,,3756.382175
201.703475,,,,,3756.718475
201.8643,,,,,3757.383975
202.0013,,,,,3757.641325
202.421375,,,,,3757.84915
202.5155,,,,,3758.41405
202.563675,,,,,3758.754725
202.6646,,,,,3759.4186
202.728075,,,,,3759.65295
202.75505,,,,,3759.853575
202.901275,,,,,3760.516575
202.986475,,,,,3760.920575
203.058725,,,,,3761.1721
203.19165,,,,,3761.385675
203.3121,,,,,3761.5497
203.38365,,,,,3761.7496
203.4302,,,,,3762.0123
203.45135,,,,,3762.2181
203.590975,,,,,3762.362325
203.61875,,,,,3762.5321
203.66655,,,,,3762.749375
203.741925,,,,,3763.6435
203.895425,,,,,3763.85325
203.992375,,,,,3764.061225
204.01575,,,,,3764.198925
204.157675,,,,,3764.328675
204.1876,,,,,3764.755125
204.261725,,,,,3765.0514
204.35855,,,,,3765.1044
204.493675,,,,,3765.157325
204.517225,,,,,3765.33865
204.5602,,,,,3765.3919
204.625575,,,,,3765.431075
204.638275,,,,,3765.7063
204.719225,,,,,3766.4399
204.78285,,,,,3766.657575
204.8149,,,,,3767.350325
204.85365,,,,,3767.494525
204.955975,,,,,3767.7322
205.01985,,,,,3768.09295
205.0579,,,,,3768.308125
205.1366,,,,,3768.399125
205.157775,,,,,3768.742075
205.2555,,,,,3768.89175
205.35785,,,,,3769.053125
205.438075,,,,,3769.403925
205.483975,,,,,3769.60735
205.5497,,,,,3769.65965
205.589025,,,,,3770.1934
205.64165,,,,,3770.285875
205.694775,,,,,3770.828975
205.725475,,,,,3771.24085
205.83005,,,,,3771.2451
205.892125,,,,,3771.508325
205.912575,,,,,3771.84585
205.948775,,,,,3771.9623
206.078575,,,,,3772.1796
206.130425,,,,,3772.30515
206.166525,,,,,3772.610325
206.2707,,,,,3772.732725
206.316425,,,,,3773.100775
206.416625,,,,,3773.5392
206.732625,,,,,3773.996625
206.795975,,,,,3774.15265
206.899,,,,,3774.4623
206.977425,,,,,3774.613975
207.06605,,,,,3774.947525
207.187525,,,,,3775.568
207.225775,,,,,3775.694875
207.273975,,,,,3776.02545
207.3002,,,,,3776.0284
207.34765,,,,,3776.099525
207.4185,,,,,3776.3789
207.4732,,,,,3776.649825
207.5534,,,,,3776.84635
207.62315,,,,,3777.03975
207.7072,,,,,3777.18095
207.7473,,,,,3777.287725
207.8131,,,,,3777.512075
207.8393,,,,,3777.867975
207.873975,,,,,3778.00295
207.99305,,,,,3778.386275
208.0558,,,,,3778.6016
208.084375,,,,,3779.01495
208.1158,,,,,3779.257775
208.171675,,,,,3779.685725
208.2621,,,,,3780.038425
208.3321,,,,,3780.39545
208.532525,,,,,3780.8962
208.644875,,,,,3781.081025
208.72575,,,,,3781.251775
208.77505,,,,,3781.358925
208.81335,,,,,3781.5085
208.843925,,,,,3781.615975
208.8677,,,,,3782.4449
208.905525,,,,,3783.221325
209.016325,,,,,3783.79105
209.035675,,,,,3783.829975
209.111625,,,,,3784.1261
209.163125,,,,,3784.464925
209.189025,,,,,3784.8186
209.2519,,,,,3784.976225
209.291725,,,,,3785.124375
209.423875,,,,,3785.286775
209.468525,,,,,3785.44685
209.491475,,,,,3786.08955
209.531275,,,,,3786.559425
209.568725,,,,,3786.952925
209.6086,,,,,3786.986425
209.6539,,,,,3787.51395
209.7209,,,,,3788.225425
209.79815,,,,,3788.37745
209.901925,,,,,3788.536275
210.092075,,,,,3788.88335
210.2185,,,,,3789.224175
210.2718,,,,,3789.5886
210.30915,,,,,3789.665625
210.323325,,,,,3791.2859
210.345675,,,,,3791.361625
210.445675,,,,,3791.3794
210.51065,,,,,3791.880575
210.5924,,,,,3792.207175
