SPK_SPKC02a (NA),SPK_SPKC05b (NA),SPK_SPKC06a (weak excitation),SPK_SPKC10a (short excitation),SPK_SPKC11a (no effect)
91.929275,159.134975,14.945325,16.3376,20.50525
92.439625,159.569375,14.94785,16.353725,20.52645
92.560875,159.621925,14.977525,16.42425,20.595925
92.994375,159.874025,15.044775,16.455625,20.831125
93.3443,159.9374,15.11925,16.4798,20.8558
93.6638,160.2387,15.1489,16.50775,20.889075
94.215825,160.335625,15.16395,16.56035,20.92765
94.345925,160.46425,15.1888,16.5769,21.0094
94.8626,160.557075,15.204,16.59065,21.0358
95.179625,160.933925,15.2346,16.5938,21.106125
95.336125,161.349925,15.2713,16.61225,21.127575
95.406325,161.706925,15.295775,16.6368,21.193
95.851925,161.91195,15.326475,16.72885,21.305175
96.2302,162.8405,15.32955,16.75445,21.3402
96.51855,162.890375,15.354575,16.77225,21.36985
97.140525,163.090275,15.408,16.801975,21.528225
97.235225,163.114275,15.50915,16.8198,21.587475
97.525675,163.157975,15.533025,16.836825,21.74335
97.949875,163.1944,15.58525,16.885625,21.750075
98.022125,163.212525,15.598725,16.915925,21.765825
98.087275,163.3355,15.610525,16.95205,21.77915
98.149875,163.4529,15.619875,17.0027,21.788375
98.594625,163.489325,15.62475,17.060025,21.812175
98.831025,163.82495,15.641975,17.105875,21.817025
98.998875,163.87225,15.676175,17.153975,21.855325
99.1225,163.910675,15.7789,17.2249,21.8898
99.185425,164.24565,15.816075,17.240025,21.9023
99.2819,164.420825,15.843175,17.30755,21.920475
99.643825,164.564775,15.867625,17.3425,21.936425
99.81095,164.733775,15.894225,17.6025,22.012625
100.3464,164.955825,15.9712,17.6664,22.040675
100.57585,165.388675,16.002675,17.68915,22.060075
100.659925,165.43465,16.032,17.7111,22.074675
100.75575,165.6331,16.044475,17.74045,22.08955
100.85525,166.445525,16.090175,17.881225,22.10875
100.8752,166.51625,16.152025,17.9336,22.133175
100.974025,166.5635,16.18325,17.96915,22.2403
101.001825,166.566,16.19945,18.0006,22.258075
101.16305,166.820425,16.2435,18.022,22.27775
101.2684,166.948925,16.26315,18.10545,22.2973
101.30475,167.3037,16.359275,18.147275,22.330275
101.37355,167.934175,16.433475,18.2497,22.4615
101.4301,168.13125,16.4746,18.3155,22.5568
101.47925,168.421675,16.525575,18.384375,22.578025
101.598375,168.64055,16.58655,18.398325,22.62625
101.68975,168.7857,16.632575,18.410075,22.670475
101.89895,168.8311,16.7003,18.4321,22.68855
101.956275,168.966225,16.74155,18.455925,22.7341
102.002425,169.043075,16.77675,18.508175,22.8113
102.520275,169.3804,16.918225,18.5351,22.8723
103.33745,169.512375,16.935225,18.5873,22.88545
103.399525,169.873375,16.966625,18.60705,22.924825
103.567775,170.371275,16.98855,18.628725,22.982675
104.13265,171.178125,17.026525,18.6564,23.082575
104.274825,171.611125,17.11675,18.6759,23.209675
104.40065,171.907225,17.188725,18.7819,23.26075
104.734725,172.193525,17.21935,18.858175,23.29965
105.2076,172.34485,17.2206,18.893,23.325125
105.246325,172.411875,17.268725,18.9165,23.40775
105.25295,172.604,17.29365,18.944175,23.44565
105.328075,173.0295,17.333475,18.96585,23.460775
105.38195,173.080025,17.359375,19.008425,23.569325
105.650975,173.295,17.43945,19.0538,23.74295
105.75945,174.701275,17.475125,19.09505,23.770725
105.972225,174.95425,17.529875,19.1629,23.88735
106.392675,175.2366,17.593325,19.1923,23.91855
106.763325,175.38375,17.68745,19.2153,23.94205
107.231175,175.528325,17.731575,19.2451,24.030925
107.344,175.859275,17.832925,19.267275,24.05405
107.44275,176.155225,17.8598,19.307825,24.106375
107.525575,176.5588,17.897075,19.3255,24.12605
107.7565,176.7708,17.934075,19.33705,24.144275
107.875925,176.93895,17.965025,19.354575,24.28365
107.9872,177.1552,18.0287,19.417525,24.31935
108.03265,177.71485,18.07575,19.459775,24.437075
108.11675,178.179625,18.117275,19.4773,24.552125
108.719125,178.386725,18.179075,19.5298,24.73585
110.824025,178.8345,18.22805,19.5544,24.77985
110.97325,179.17365,18.2624,19.6115,24.856225
111.571,179.184675,18.299625,19.6241,24.873325
111.8212,179.507975,18.3151,19.717425,24.8916
111.889975,179.8623,18.33925,19.73535,25.0282
111.95855,180.018175,18.40445,19.770825,25.05925
112.362725,180.0809,18.412575,19.814625,25.138925
112.739625,180.99885,18.42185,19.856875,25.16835
113.0754,181.052725,18.45435,20.01045,25.18605
113.1422,181.603825,18.51385,20.07165,25.196675
113.700975,182.020475,18.52665,20.086325,25.217125
