SPK_SPKC09a (no response),SPK_SPKC10a (inhi),SPK_SPKC13b (inhi),SPK_SPKC14a (no response),SPK_SPKC15a (inhi)
107.506925,106.28695,107.99025,103.1071,115.5459
107.5528,106.29255,108.162975,103.135,115.59165
107.59845,106.320225,108.2049,103.170375,115.640425
107.665425,106.34355,108.24495,103.1839,115.85805
107.798225,106.348225,108.3001,103.216225,115.876175
107.8616,106.35015,108.43365,103.243075,115.895575
107.87765,106.394075,108.470875,103.248975,115.9703
108.004575,106.40985,108.504175,103.2768,116.06575
108.107125,106.651175,108.682075,103.310325,116.08495
108.18315,106.8023,108.71695,103.33045,116.132825
108.236975,106.811625,108.784,103.3605,116.243325
108.2824,106.8437,108.80885,103.3926,116.396325
108.3817,106.8763,108.83055,103.420875,116.5193
108.4478,106.935325,108.904,103.43545,116.54825
108.4857,107.101375,108.929625,103.454,116.617725
108.65655,107.184425,108.965375,103.458125,116.69425
108.74515,107.210475,108.9736,103.4789,116.73595
108.7957,107.221425,109.1107,103.505975,116.86275
108.913125,107.24555,109.158275,103.53265,116.960475
108.921375,107.287025,109.210475,103.5467,116.982275
108.9901,107.3429,109.225975,103.56625,117.014075
109.03615,107.40845,109.252825,103.572775,117.190675
109.17675,107.449175,109.293225,103.59815,117.2355
109.2618,107.84035,109.349175,103.6442,117.31425
109.340475,107.899875,109.3985,103.673025,117.381425
109.447425,107.90765,109.5952,103.69715,117.3953
109.558375,107.941025,109.6481,103.701025,117.4358
109.5697,107.963225,109.6793,103.748925,117.474475
109.62925,107.998725,109.693475,103.783725,117.51635
109.6964,108.00525,109.7668,103.81005,117.550125
109.71895,108.027175,109.792525,103.83285,117.5679
109.77315,108.041,109.818125,103.8669,117.651225
109.8539,108.5126,109.92075,103.89915,117.6773
109.90795,108.6446,109.98875,103.925325,117.720625
109.93035,108.6548,110.0987,103.9497,117.744425
110.015925,108.9022,110.1413,103.962275,117.769325
110.0826,108.990975,110.196475,103.982625,117.937375
110.130175,109.073275,110.22665,104.001275,117.964075
110.162475,109.1238,110.278125,104.016025,117.98085
110.2677,109.280525,110.2929,104.0304,117.994975
110.364575,109.358675,110.340575,104.039875,118.01045
110.417125,109.37935,110.354325,104.047025,118.019225
110.5038,109.418,110.372825,104.05625,118.034625
110.5558,109.4428,110.505225,104.0742,118.040525
110.613675,109.645775,110.6071,104.077825,118.0497
110.672475,109.667425,110.6639,104.084325,118.0541
110.69445,109.777025,110.70605,104.12265,118.13275
110.74795,109.95625,110.7687,104.143375,118.205325
110.7834,110.1124,110.7758,104.163325,118.295175
110.81085,110.3375,110.82785,104.172075,118.3783
110.81185,110.346175,110.97155,104.1913,118.397525
111.003375,110.3931,110.985375,104.20235,118.424975
111.024975,110.569025,111.010275,104.23335,118.449325
111.0451,110.69815,111.2743,104.250825,118.51245
111.0588,110.728625,111.3948,104.27245,118.549575
111.097975,110.75145,111.59315,104.2987,118.6027
111.1343,110.80505,111.60625,104.319775,118.649875
111.284175,110.836925,111.69585,104.3246,118.67065
111.357675,110.88535,111.717725,104.355775,118.72685
111.3637,110.974025,111.745375,104.40215,118.777625
111.447875,111.1132,111.76575,104.405825,118.876975
111.50125,111.39055,111.78935,104.4384,118.900725
111.558575,111.40985,111.957975,104.46655,118.919175
111.61135,111.4314,111.987275,104.50765,118.960375
111.683325,111.4441,112.014275,104.5154,118.977525
111.771975,111.457875,112.0455,104.549425,119.063
111.802925,111.4791,112.119025,104.558025,119.0789
111.904075,111.483025,112.182125,104.6034,119.098675
111.934325,111.498075,112.18585,104.63865,119.13895
112.01885,111.52975,112.199125,104.6533,119.159525
112.144425,111.5657,112.338,104.67625,119.190575
112.1634,111.774725,112.35265,104.704775,119.2108
112.193025,111.849025,112.420625,104.72535,119.221325
112.228725,111.95695,112.4537,104.745775,119.331875
112.2809,111.968775,112.58015,104.756125,119.398725
112.32235,112.0984,112.599175,104.846175,119.433325
112.482,112.13945,112.632775,104.865375,119.480525
112.54105,112.1584,112.91205,104.866675,119.522
112.599825,112.17875,112.924325,104.906125,119.6176
112.80125,112.2566,112.935725,104.941025,119.725325
112.8521,112.276975,112.960575,104.95285,119.8052
112.934775,112.624,112.986,104.9792,119.83735
112.99505,112.6805,113.009675,104.9925,119.866625
113.037,112.7047,113.052775,105.021025,119.8895
113.10955,112.711925,113.113775,105.0355,119.9164
113.142825,112.723875,113.362125,105.052475,119.9994
113.1758,112.913925,113.425,105.05355,120.093175
113.26415,113.014775,113.440675,105.08965,120.20515
113.392925,113.107825,113.57955,105.12025,120.23905
