SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC15a,SPK_SPKC16b
3994.223025,3813.08655,3824.213875,3820.537175
3994.597125,3813.100225,3824.275875,3820.5639
3994.9543,3813.120125,3824.314675,3820.601875
3995.0504,3813.1354,3824.35785,3820.626325
3995.10075,3813.150125,3824.43245,3820.644
3995.1413,3813.168975,3824.54885,3820.6619
3995.1436,3813.183225,3824.590725,3820.678825
3995.618475,3813.191325,3824.639825,3820.696175
3995.819,3813.205375,3824.699175,3820.70035
3995.91295,3813.2231,3824.72295,3820.71675
3996.38365,3813.2338,3824.790325,3820.7217
3996.42805,3813.24775,3824.79965,3820.745725
3997.74205,3813.265875,3824.832525,3820.810075
3997.906925,3813.288325,3824.858125,3820.856325
3997.99905,3813.320625,3824.9112,3820.87715
3998.03275,3813.332875,3824.942475,3820.882275
3998.112275,3813.35975,3824.961975,3820.9404
