SPK_SPKC01a (inhi),SPK_SPKC05a (inhi),SPK_SPKC07a (exc),SPK_SPKC13a (inhi)
,299.081725,323.08295,313.13855
,299.157975,323.118675,313.18105
,299.3456,323.2111,313.266525
,299.45265,323.32005,313.3343
,299.912425,323.331825,313.389925
,300.0547,323.37025,313.816825
,300.155,323.438375,313.8706
,300.2989,323.44715,314.003175
,300.370375,323.5883,314.117
,300.59665,323.661175,314.312225
,300.65445,323.73005,314.3602
,301.19555,323.777825,314.46045
,301.253175,323.7865,314.583775
,301.31285,324.099875,314.907025
,301.3907,324.102125,315.036775
,301.43065,324.215525,315.108075
,301.6424,324.290825,315.267125
,301.779025,324.306075,315.46045
,301.839375,324.35535,315.504875
,301.911925,324.450825,315.5823
,301.966175,324.5646,315.686675
,302.085775,324.593275,315.7435
,302.254675,324.6157,315.87305
,302.392625,324.647525,316.001475
,302.5396,324.693125,316.23515
