SPK_SPKC02a (inhibited),SPK_SPKC05a (inhibited)
23.8407,126.725875
23.852275,126.734075
23.87085,126.783075
23.8888,126.91535
23.904575,126.9473
23.929675,127.314725
23.94425,127.52515
23.961875,127.6689
23.9738,127.8982
23.987325,127.903525
24.010675,128.1681
24.038825,128.486175
24.062275,129.17645
24.07895,129.2037
24.102975,129.226075
24.108725,129.344975
24.1435,129.49605
24.16505,130.117625
24.183375,130.19195
24.194425,130.2653
24.2012,130.39535
24.234075,130.441675
24.253225,130.591425
24.262475,130.69255
24.2766,130.7015
24.28795,130.9242
24.312825,130.975675
24.33565,131.094975
24.3473,131.147525
24.365725,131.5071
24.369975,131.6045
24.419025,132.114375
24.42945,132.117625
24.439675,132.20975
24.457375,132.346775
24.462,132.393975
24.491125,132.46955
24.50425,132.8342
24.532875,132.855075
24.544225,133.409225
24.555725,133.482675
24.563675,133.614325
24.57255,134.12785
24.595175,134.136075
24.6045,134.1481
24.6431,134.475425
24.65765,134.5559
24.662875,134.605225
24.678175,135.3363
24.6952,135.48185
24.7162,136.074825
24.728675,136.2086
24.735775,136.2484
24.760075,136.37425
24.76695,136.65995
24.8009,137.23535
24.838125,137.279175
24.849925,137.7688
24.875,138.516225
24.88975,138.6612
24.906025,138.679975
24.933625,138.8498
24.977425,139.28605
24.99695,140.1554
25.00505,140.309175
25.0293,140.46355
25.04065,140.513575
25.0503,140.8464
25.0698,140.906425
25.084775,141.439625
25.098775,141.82005
25.1098,142.156025
25.1232,142.5234
25.138775,142.6469
25.1582,142.759325
25.1766,142.83865
25.188325,142.88935
25.1933,143.1344
25.19715,143.21405
25.212225,143.571425
25.224325,143.581475
25.252725,143.63535
25.271,144.09745
25.285125,144.233775
25.384875,144.807975
25.401125,144.988875
25.41335,145.178725
25.4372,145.336525
25.454775,145.40455
25.53045,145.643325
25.5642,145.6805
25.5722,145.713775
25.580675,145.83465
25.597725,145.9842
25.6117,146.114175
25.65615,146.12795
25.6703,146.25505
25.7418,146.2988
25.752675,146.550825
25.76225,146.5625
25.783575,146.857
25.8024,147.35335
25.826,147.84645
25.8543,147.88
25.8917,148.118725
25.903575,148.50185
25.911925,148.6211
25.9499,148.871175
25.961825,148.90935
25.973925,148.974675
26.068775,149.0562
26.156725,149.52835
26.16775,149.551925
26.227675,149.630125
26.2399,150.194475
26.263925,150.239725
26.278625,150.27105
26.2936,150.487975
26.315075,150.56675
26.324175,151.46015
26.334275,151.837575
26.548875,152.327325
26.640025,152.33855
26.681425,152.603325
26.804425,154.109825
26.88685,154.3184
26.90335,154.586275
26.924075,154.631375
26.9461,154.7789
26.967125,154.89835
27.03915,155.087675
27.061075,155.52565
27.126,155.668325
27.14165,156.01495
27.1592,156.055375
27.204075,156.05785
27.2533,156.148375
27.280375,156.324825
27.295725,156.329475
27.302075,156.6147
27.38945,156.7258
27.399175,156.76465
27.4509,157.066525
27.501625,157.144775
27.512675,157.183225
27.5463,157.42
27.59165,157.563075
27.6751,157.7491
27.74435,157.88285
28.019325,157.946275
28.246125,158.63965
28.7106,160.196525
29.009825,160.892575
29.478575,161.1852
29.77455,161.233725
29.803275,161.498575
29.886225,161.6705
29.897875,161.6836
29.90395,161.91545
29.906375,162.14315
29.9306,162.5018
29.95435,162.5763
30.011675,162.617825
30.0314,162.705175
30.11065,162.872425
30.13925,162.9744
30.1461,162.984
30.177,163.13205
30.20325,163.173225
30.242175,163.194425
30.247325,163.2601
30.2613,163.384575
30.27575,164.21575
30.2777,164.253375
30.28985,164.424775
30.301275,164.467675
30.3457,164.4825
30.361025,164.49085
30.386275,164.563775
30.39385,164.774075
30.396425,164.960375
30.402,164.998825
30.422675,165.014275
30.447,165.271775
30.457125,165.3047
30.463975,165.4433
30.468275,165.613075
30.475625,165.663075
30.485375,165.8889
30.4968,166.0835
30.5124,166.1019
30.535825,166.12635
30.549475,166.220325
30.557775,166.409175
30.599075,166.423125
30.612825,166.68485
30.64435,166.7002
30.671275,167.143975
30.692575,167.2037
30.702,167.4123
30.707175,167.569625
30.736,167.597525
30.75335,167.620125
30.76095,167.6527
30.775,167.673675
30.787725,167.948575
30.792375,168.047775
30.80325,168.138175
30.8066,168.57715
30.8223,168.87715
30.84165,168.889425
30.8595,168.929775
30.86955,169.0455
30.92535,169.6451
30.938125,169.961075
30.947725,170.259425
30.9555,170.327725
30.965075,170.41885
30.97405,170.5362
30.9818,170.6032
30.998175,170.6907
31.01,171.02365
31.0517,171.05255
31.0706,171.07625
31.095975,171.45285
31.1271,171.5822
31.137975,171.595675
31.156375,171.94155
31.201625,172.061725
31.235475,172.340725
31.2508,172.529425
31.266925,172.657925
31.275525,172.8127
31.2825,172.835375
31.293075,173.043625
31.308725,173.081625
31.32055,173.0869
31.323725,173.27315
31.33765,173.702225
31.35645,173.852625
31.36045,174.021175
31.378075,174.1265
31.38765,174.175725
