SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC12b
668.612475,663.91335,651.031525,669.9448
668.64205,663.9174,651.034525,669.961825
668.665925,663.930375,651.0418,669.9777
668.6895,663.937825,651.060875,669.984875
668.965925,663.9478,651.071575,670.04565
669.35935,663.953675,651.09285,670.05715
669.3872,663.97315,651.0977,670.063475
669.580825,663.98715,651.10625,670.088
669.608225,664.17535,651.185125,670.315425
669.657625,664.194275,651.1988,670.334975
669.89865,664.200425,651.206275,670.34875
669.9115,664.220125,651.24915,670.355525
669.915825,664.233,651.340375,670.44365
669.962025,664.55565,651.434975,670.4888
670.046675,664.60565,651.439425,670.504275
670.280825,664.63085,651.48555,670.51055
670.32545,664.637175,651.530175,670.761725
670.3348,664.647975,651.65285,670.7773
670.3433,664.655575,651.835575,670.79125
670.351575,664.6716,651.841825,670.806225
670.39275,664.6775,651.895,670.820875
670.424775,664.70305,651.904625,670.833175
670.715425,664.727375,651.921375,670.84045
670.743025,664.755375,652.05815,670.858225
670.755275,664.78665,652.167675,670.862725
670.767225,664.84125,652.22905,670.8717
671.493425,665.13115,652.26105,671.1584
671.4974,665.14825,652.2961,671.178
671.5383,665.163725,652.331075,671.228825
671.54445,665.180925,652.394325,671.26735
671.55385,665.19285,652.404075,671.2867
671.56785,665.211575,652.645875,671.321625
671.66225,665.238175,652.704475,671.352225
671.8367,665.58625,652.72245,671.3784
671.90445,665.599675,652.7465,671.417675
672.186575,665.6108,652.755125,671.492725
672.20385,665.6188,652.77005,671.59855
672.66025,665.995375,652.792675,671.641675
672.66995,666.01755,652.8022,671.68305
672.696925,666.0243,652.805975,671.709
672.715175,666.030475,652.8759,671.715775
672.72975,666.336225,652.89945,671.738325
672.7669,666.378025,652.917875,671.752025
672.804025,666.683625,652.97315,671.908175
672.821325,666.706525,653.089625,671.991525
672.83135,666.723075,653.26105,672.011925
672.887,666.745375,653.28275,672.01995
673.0555,666.760475,653.309725,672.034
673.1548,666.7914,653.3108,672.06955
673.28045,667.04515,653.33075,672.084925
673.562975,667.1004,653.38605,672.2868
673.587125,667.107,653.39855,672.311975
673.600725,667.15105,653.405375,672.349675
673.623075,668.075175,653.4421,672.3632
673.6644,668.1236,653.45105,672.495325
673.86565,668.18015,653.462175,672.58335
674.579775,668.184475,653.528075,672.658
674.76065,668.26485,653.53445,672.672925
674.81705,668.293475,653.713075,672.69665
674.8397,669.28095,653.811525,672.777625
674.857025,669.328425,653.825975,672.824975
674.86365,669.4468,653.844425,672.881975
674.897325,669.47395,653.854125,672.905475
674.925925,669.48125,653.856225,672.958975
674.990175,669.498225,653.88075,673.051225
675.007025,669.5031,653.887725,673.129375
675.030575,669.521625,653.91555,673.1461
675.065575,669.56995,653.94925,673.172775
675.084825,669.89595,654.1666,673.191875
675.379225,669.942125,654.269275,673.234125
675.39735,669.997825,654.358625,673.295925
675.412675,670.367475,654.365375,673.394875
675.4236,670.37815,654.47445,673.432325
675.427125,670.412975,654.61225,673.605325
675.472725,670.4449,654.65385,673.637025
675.4933,670.747225,654.6698,673.653825
675.497175,670.75965,654.737675,673.672075
675.535125,670.77375,654.75345,673.716975
675.601,670.79795,654.759275,673.756
675.674925,670.96465,654.7754,673.796975
675.69315,670.972925,654.8898,673.882
675.704975,670.979275,654.975475,673.940475
675.72255,671.560925,655.016975,673.961875
675.740825,671.58395,655.01995,674.012675
675.75415,671.60885,655.3277,674.035175
675.76885,671.63675,655.381475,674.0692
675.8465,671.67895,655.398475,674.282275
675.889675,671.869575,655.442475,674.2865
675.9664,671.929425,655.491225,674.354125
676.139825,671.948475,655.5924,674.4296
676.175075,672.220175,655.8833,674.54635
