SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
312.414675,333.79665
312.60015,333.841
312.711,333.85095
312.8669,333.86035
312.968275,333.8773
313.114775,333.93075
313.729375,333.97375
313.799075,334.161125
314.0006,334.195225
314.1788,334.2547
314.2351,334.4016
314.71715,334.5257
314.921175,334.556325
315.21705,334.594875
315.49855,334.646
315.601225,334.726375
315.694775,334.797925
315.8416,334.842475
316.009175,334.99195
316.07885,335.102475
316.3233,335.17195
316.41485,335.3027
316.537125,335.360425
316.601875,335.382375
316.67705,335.586575
316.88645,335.8334
317.03305,336.129725
317.04345,336.176775
317.21545,336.2128
317.352875,336.378625
317.42175,336.4336
317.5367,336.44685
317.9705,336.492825
318.116525,336.49575
318.449975,336.585675
318.5156,336.696075
318.7745,336.715825
319.2356,336.91125
319.777625,336.98525
320.006,337.036325
320.039275,337.0519
320.101775,337.125325
320.171275,337.152
320.223675,337.291525
320.313425,337.3893
320.3537,337.45155
320.377325,337.464525
320.4354,337.70145
320.49725,337.85875
320.554375,337.97135
320.58665,337.982425
320.639425,338.03125
320.70125,338.056075
320.7631,338.06295
320.859975,338.140525
320.923375,338.5027
320.95485,338.596825
321.045,338.626975
321.084825,338.710575
321.1504,338.7981
321.242275,338.865675
321.288225,338.957675
321.386025,339.0215
321.431525,339.067725
321.4856,339.3771
321.5592,339.4157
321.63025,339.447675
321.6808,339.4967
321.784025,339.771275
321.879,339.862525
321.92765,339.943075
321.97155,339.967075
322.08405,339.9983
322.1989,340.117625
322.226,340.196575
322.266275,340.218175
322.339075,340.572175
322.414825,340.6899
322.504175,340.7068
322.58395,340.727325
322.680725,341.058575
322.74115,341.1
322.921375,341.150675
323.088775,341.20685
323.30885,341.222075
323.423875,341.26875
323.484325,341.333575
323.57575,341.44465
323.6615,341.5773
323.81085,341.72785
323.8928,341.76885
323.96105,341.7929
324.0361,341.806175
324.071425,341.838075
324.186125,341.92695
324.263,342.0012
324.3572,342.012675
324.560725,342.0245
324.627275,342.063925
324.72485,342.07045
324.88195,342.0808
324.944075,342.0944
324.99635,342.112025
325.11245,342.14525
325.20995,342.16025
325.315825,342.44305
325.415625,342.4875
325.5289,342.53695
325.611775,342.6405
325.718025,342.714725
325.79855,342.7717
325.8507,342.97285
325.9397,343.089425
326.003575,343.13685
326.116925,343.1719
326.185,343.310725
326.38705,343.718825
326.472025,343.77215
326.589975,343.823125
326.7118,344.21525
326.989025,344.266825
327.064275,344.337575
327.161725,344.436175
327.243575,344.651325
327.446,344.764075
327.5441,344.82295
327.668925,344.83465
327.89445,344.95845
327.9986,344.966225
328.110325,345.079875
328.2061,345.116125
328.296825,345.12425
328.401025,345.67705
328.4709,345.71655
328.615075,345.896375
328.882625,346.016575
328.9453,346.09075
329.0542,346.186875
329.117925,346.310975
329.2928,346.455175
329.361325,346.592075
329.5579,346.623125
329.60235,346.667375
329.819175,346.890575
329.913675,346.96165
330.088825,346.994925
330.308275,347.17525
330.409075,347.2097
330.5126,347.224475
330.6324,347.305925
330.8781,347.319775
330.9269,347.33095
330.998825,347.45635
331.15015,347.512925
331.25025,347.69285
331.423025,347.833625
331.519675,347.909175
331.612675,348.179325
331.818975,348.366125
331.899875,348.661525
332.01195,348.89335
332.131175,348.90765
332.274575,349.038825
332.378625,350.9192
332.52765,350.970475
332.608575,351.3023
332.76685,351.328225
332.855225,351.335275
332.917175,351.37805
333.043,351.425875
333.2348,351.4363
333.358475,351.47925
333.526225,351.678325
333.70055,351.8802
333.91305,351.949775
334.1308,352.377075
334.2411,352.54855
334.469425,352.559175
334.609875,352.624825
334.75385,352.75625
334.889025,352.812
334.998825,352.933075
335.093075,352.983925
335.22305,353.208875
335.33025,353.360675
335.497975,353.433675
335.779675,353.577025
335.912525,353.63375
336.045525,353.7031
336.18095,353.744525
336.30875,353.9773
336.404825,354.19505
336.586875,354.215025
336.823525,354.342425
336.937175,354.415425
337.057675,354.48115
337.213275,354.496
337.3189,354.51035
337.4412,354.5552
337.53555,354.767725
337.612175,355.0997
337.813375,355.21835
337.93955,355.252875
338.127975,355.267575
338.294025,355.3167
338.467525,355.4216
338.580975,355.609875
338.642075,356.181625
338.712575,356.261925
338.7945,356.450375
338.8781,356.45315
338.950175,356.556175
339.0342,356.6155
339.142725,356.628475
339.301575,356.69245
339.480275,356.77025
339.7225,356.956725
339.837625,356.989125
339.982175,357.076875
340.059075,357.09605
340.1989,357.195575
340.253325,357.2738
340.349125,357.346675
340.436625,357.399975
340.520875,357.4708
340.5943,357.75715
340.7577,357.8184
340.905175,358.073625
341.08175,358.0933
341.23355,358.1097
341.357075,358.2887
341.487975,358.350675
341.5633,358.596125
341.648525,358.6844
341.761375,358.787
341.867125,358.809175
342.00025,358.837075
342.181525,358.869425
342.242225,358.9436
342.2727,359.23235
342.336675,359.344725
342.446125,359.4872
342.52735,359.561825
342.590325,359.610125
342.65135,359.66625
