SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC10a
53.081175,106.554275,9.126175,15.677225,8.532075
53.26515,106.9104,9.148275,15.69235,8.549
53.34175,107.284325,9.160075,15.71075,8.593875
53.37935,107.597575,9.2094,15.7234,8.613325
53.4424,107.69355,9.239325,15.735725,8.628325
53.57475,107.88525,9.262725,15.7681,8.662925
53.583075,108.087125,9.28125,15.81555,8.6803
53.596575,108.515875,9.296725,15.833475,8.717925
53.665225,108.53005,9.3085,15.879375,8.7306
53.690425,108.894125,9.324275,15.91035,8.73895
53.71915,109.029575,9.333575,15.9476,8.74815
53.74285,109.658625,9.342225,15.9628,8.7779
53.846875,109.74585,9.370075,15.987575,8.79675
53.900675,109.991125,9.3941,16.000525,8.8042
54.0459,110.261725,9.41495,16.019375,8.81715
54.194625,110.73385,9.459075,16.034825,8.8261
54.2413,110.81055,9.4785,16.05515,8.83135
54.28565,111.459725,9.5033,16.073575,8.8408
54.38135,111.471575,9.5241,16.081225,8.845925
54.458325,111.914675,9.548125,16.088,8.86615
54.48605,111.941575,9.56855,16.10265,8.8889
54.498625,112.0174,9.586425,16.110175,8.91245
54.568975,112.137575,9.61495,16.15105,8.9233
54.57585,112.5055,9.640675,16.153175,8.94575
54.65605,112.538975,9.655925,16.228925,8.990625
54.6801,113.156875,9.6755,16.241175,9.014575
54.702725,113.218375,9.69745,16.2723,9.0514
54.7487,113.303975,9.716025,16.28305,9.108575
54.76615,113.52295,9.722325,16.42025,9.123625
54.802,113.52775,9.734325,16.448825,9.130425
