SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
514.229925,516.458125,516.33945,,508.7237,
514.2706,516.489225,516.401725,,508.76895,
514.2724,516.5099,516.447,,508.83095,
514.2967,516.532675,516.521775,,508.839175,
514.334875,516.555875,516.570975,,508.8475,
514.389125,516.577175,516.6154,,508.859625,
514.4227,516.602125,516.663825,,508.87085,
514.42365,516.62935,516.700175,,508.9085,
514.498325,516.65755,516.7395,,508.9354,
514.5542,516.67095,516.778525,,508.94935,
514.579375,516.73925,516.811275,,508.9977,
514.643075,516.778275,516.889425,,509.046475,
514.696925,516.8226,516.9276,,509.09525,
514.77295,516.903625,516.978425,,509.159925,
514.833,516.926075,517.000225,,509.17135,
514.840975,516.98045,517.02525,,509.189775,
514.9145,517.0353,517.0553,,509.237,
514.9261,517.143,517.08395,,509.269125,
515.0081,517.183825,517.1297,,509.2931,
515.040525,517.254575,517.226475,,509.3269,
515.05535,517.3443,517.26445,,509.353625,
515.07045,517.422325,517.320125,,509.3573,
515.0866,517.4724,517.358825,,509.364825,
515.13585,517.4877,517.38525,,509.381475,
515.21575,517.665575,517.4049,,509.3883,
515.23165,517.73845,517.428925,,509.402325,
515.3368,517.773225,517.4632,,509.414575,
515.361575,517.79705,517.4945,,509.43575,
515.398425,517.8488,517.51685,,509.4486,
515.452075,517.93425,517.564325,,509.462275,
515.538975,517.977975,517.64165,,509.4801,
515.591675,518.0296,517.668125,,509.513525,
515.639875,518.07465,517.741275,,509.54545,
515.7585,518.105475,517.790075,,509.56735,
515.792475,518.162875,517.847325,,509.593325,
515.8375,518.2514,517.87945,,509.609075,
515.8972,518.291525,517.924925,,509.620525,
515.963125,518.347975,517.98085,,509.65195,
516.018725,518.3766,518.04185,,509.673425,
516.03595,518.4496,518.098425,,509.689925,
516.043775,518.4938,518.1295,,509.711575,
516.126675,518.518575,518.168975,,509.730575,
516.169825,518.57745,518.212425,,509.7503,
516.202925,518.59375,518.244325,,509.7732,
516.255,518.684325,518.295925,,509.794475,
516.28195,518.886675,518.41865,,509.834325,
516.289975,518.947475,518.476825,,509.84985,
516.319275,518.977625,518.5159,,509.867925,
516.383525,519.033925,518.55435,,509.88595,
516.44605,519.061625,518.5795,,509.89,
516.478025,519.1514,518.605825,,509.9031,
516.51815,519.198875,518.6602,,509.923325,
516.56195,519.2951,518.694,,509.9402,
516.601675,519.3328,518.72715,,509.961575,
516.644425,519.353775,518.767425,,509.9799,
516.695475,519.40225,518.804925,,509.999275,
516.737975,519.429325,518.84855,,510.02185,
516.781375,519.443725,518.903475,,510.036325,
516.785425,519.51225,518.927875,,510.05695,
516.8133,519.56625,518.973925,,510.0806,
516.8396,519.634125,519.04275,,510.09465,
516.886225,519.672025,519.1031,,510.10295,
516.92115,519.70135,519.168875,,510.119625,
516.97555,519.748225,519.2179,,510.128575,
