SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC15a
3819.036375,3884.122825,3867.72225,3856.9868,3909.773725,3816.90685
3819.1091,3884.208275,3868.801325,3857.3645,3909.892,3816.9925
3819.479725,3885.39935,3869.533725,3858.321375,3911.06095,3817.063825
3819.52565,3887.08905,3869.557125,3859.7564,3911.426125,3817.247325
3819.671975,3887.469375,3870.150775,3861.01445,3912.36695,3817.2795
3819.707,3888.90725,3870.47595,3861.1234,3912.75295,3817.309925
3819.832975,3889.230625,3870.632725,3861.263375,3915.26995,3818.1805
3819.969675,3889.60805,3870.7702,3861.458325,3915.515825,3818.210825
3820.059075,3890.838525,3870.9305,3862.340675,3915.944425,3818.4042
3820.145225,3891.5486,3871.5906,3862.8036,3916.385675,3818.902075
3820.44045,3891.68125,3872.694625,3863.407975,3917.018,3818.96675
3820.633625,3892.186475,3873.24265,3863.74705,3917.2858,3818.996825
3821.131275,3892.3371,3876.593275,3865.77905,3920.6402,3819.321775
3821.20855,3892.90555,3877.072325,3866.286875,3921.4173,3819.381125
3821.4779,3894.006725,3877.649875,3866.45455,3925.802225,3819.44735
3821.494125,3894.0921,3878.811725,3866.8817,3926.835275,3819.50105
3821.78235,3894.2747,3879.841025,3867.429925,3927.20875,3819.65875
3822.135725,3895.1388,3880.18345,3867.557375,3928.3543,3819.823975
3822.3319,3896.498475,3880.3215,3867.87445,3928.461525,3820.19375
3822.521275,3897.1863,3880.57015,3868.35505,3928.505375,3820.3548
3822.82335,3901.696725,3880.92365,3869.025975,3929.1736,3820.835525
3822.845525,3903.41535,3880.98635,3870.37065,3929.46415,3821.0698
3822.903325,3903.473975,3881.36185,3870.480025,3929.555625,3821.256325
3823.106925,3904.63875,3882.275375,3871.23695,3930.269875,3821.288375
3823.4395,3905.46585,3882.598125,3872.4773,3935.3902,3821.541
3823.599325,3907.23235,3882.84825,3873.485725,3935.637875,3821.77885
3823.830275,3907.92655,3884.23505,3873.871175,3935.70405,3822.16935
3824.2011,3909.771875,3884.299275,3874.003675,3935.862625,3822.28625
3824.3803,3909.94345,3885.808875,3875.386675,3936.3063,3822.451975
3824.4798,3910.3601,3886.049125,3876.09405,3937.179125,3822.52275
3824.69875,3911.319025,3886.43715,3876.625475,3937.6878,3822.5545
3825.00415,3911.427175,3886.4842,3876.819675,3938.5041,3822.732525
3825.084625,3911.75855,3887.581375,3877.49845,3938.836325,3822.8788
3825.216425,3912.646575,3888.49695,3877.96895,3940.071375,3823.1816
3825.22055,3913.636925,3888.658375,3878.55155,3940.5154,3823.326975
3825.283125,3915.943125,3888.86055,3878.78755,3941.41705,3823.426325
3825.477975,3917.061275,3888.9955,3878.90895,3943.040475,3823.598
3825.600775,3919.52605,3889.0093,3880.044575,3943.46095,3823.749175
3825.98835,3922.138975,3889.2349,3880.17115,3943.840425,3823.9071
