SPK_SPKC01a (exc),SPK_SPKC10a (exc),SPK_SPKC16a (exc)
189.321425,193.924575,187.1705
189.358125,193.95035,187.19265
189.399675,193.977875,187.226075
189.43015,194.031675,187.25395
189.508025,194.0479,187.270575
189.54585,194.09255,187.288375
189.581975,194.116225,187.30625
189.634775,194.140525,187.3365
189.682025,194.17395,187.400475
189.715075,194.20945,187.4328
189.76555,194.27425,187.452925
189.80005,194.2903,187.46705
189.817525,194.323675,187.48275
189.86725,194.35595,187.513225
189.915125,194.386775,187.542375
189.945075,194.39795,187.56525
190.05015,194.4738,187.603325
190.089325,194.5051,187.621975
190.1315,194.532725,187.6662
190.167375,194.555475,187.673325
190.200775,194.58245,187.732275
190.236775,194.61065,187.812
190.281675,194.659475,187.82695
190.330675,194.698075,187.837275
190.35185,194.731925,187.8751
190.3775,194.756925,187.89135
190.400475,194.771225,187.92645
190.418725,194.788625,187.9623
190.4409,194.80755,187.9827
190.4566,194.87845,188.05545
190.477875,194.9165,188.094475
190.496675,194.9401,188.121925
190.53235,195.002225,188.140675
190.55945,195.087425,188.151675
190.59095,195.129125,188.1634
190.62895,195.166625,188.1716
190.6586,195.296425,188.186625
190.6843,195.320425,188.227075
190.7255,195.342725,188.253325
190.7507,195.41105,188.3096
190.7939,195.4509,188.3268
190.83095,195.507675,188.3803
190.863875,195.5626,188.40655
190.885,195.682125,188.448075
190.9113,195.709,188.48515
190.943775,195.7342,188.517425
190.973925,195.779,188.5347
190.995225,195.7997,188.59595
191.026125,195.8144,188.614925
191.065775,195.837475,188.6359
191.1008,195.856525,188.680325
191.125575,195.8744,188.714675
191.158625,195.9238,188.78255
191.1909,195.94845,188.800675
191.259575,195.99455,188.872175
191.295275,196.039325,188.92635
191.316925,196.0787,188.9537
191.34995,196.112,189.0075
191.3704,196.13925,189.031725
191.3936,196.186825,189.050725
191.43345,196.222125,189.0766
191.50825,196.267725,189.12685
191.541175,196.309225,189.1603
191.587975,196.336875,189.19465
191.6333,196.422775,189.25985
191.672775,196.472875,189.318225
191.7032,196.526825,189.335325
191.7275,196.56105,189.40545
191.798275,196.629125,189.4698
191.81245,196.668525,189.505725
191.838525,196.706925,189.550525
191.86835,196.7474,189.599675
191.899925,196.78225,189.62355
191.9162,196.811975,189.637075
191.93725,196.845575,189.666725
191.958625,196.873425,189.694475
191.986725,196.907475,189.734525
192.004575,196.9411,189.7607
192.0316,196.964775,189.78945
192.0727,196.9903,189.853775
192.10085,197.021275,189.879125
192.158825,197.076725,189.91385
192.168725,197.105,189.975275
192.200425,197.14515,189.997
192.255375,197.190175,190.01185
192.302225,197.224475,190.0238
192.32275,197.289425,190.06195
192.375275,197.3287,190.079875
192.402375,197.374675,190.145975
192.4237,197.4287,190.161625
192.44135,197.485925,190.193325
192.4897,197.602925,190.22485
192.5365,197.645325,190.2721
192.572275,197.690475,190.32165
192.6118,197.74235,190.354225
192.653375,197.78805,190.376625
192.675075,197.83,190.46015
192.720175,197.896025,190.495
192.740675,197.943025,190.57445
192.7786,197.99005,190.640275
192.80105,198.021775,190.669225
192.83515,198.0545,190.681875
192.871925,198.097375,190.69655
192.89045,198.1246,190.7172
192.910525,198.173725,190.75835
192.935775,198.232975,190.8471
192.9576,198.27815,190.8664
192.9794,198.316725,190.892
193.009875,198.402925,190.9158
193.037525,198.43015,190.92485
193.068025,198.467425,190.949325
193.0935,198.523425,190.9694
193.1159,198.5931,190.984775
193.143125,198.6363,191.004175
193.1566,198.690125,191.037925
193.184375,198.734875,191.061175
193.250875,198.87755,191.07875
193.265525,198.920875,191.140625
193.294425,198.987025,191.152675
193.320025,199.038975,191.1945
193.340925,199.069975,191.217275
193.3739,199.12095,191.2272
193.39735,199.15655,191.248675
193.42325,199.211125,191.297625
