SPK_SPKC04b,SPK_SPKC11a
433.159975,487.8195
433.21165,488.06545
433.271875,488.071425
433.2899,488.0899
433.303125,488.288675
433.318375,488.3943
433.32775,488.40095
433.345825,488.4261
433.36045,488.43715
433.37055,488.44645
433.3845,488.4538
433.3958,488.484725
433.410275,488.606325
433.424775,488.62515
433.43285,488.7207
433.4558,488.923575
433.4682,488.9604
433.5531,489.112375
433.60055,489.1162
433.681175,489.1945
433.70465,489.249225
433.72225,489.26
433.738425,489.272875
433.759875,489.463
433.7738,489.7
433.78615,489.91065
433.811225,489.92675
433.82305,490.062775
433.8452,490.065475
433.868625,490.133025
433.880275,490.145975
433.89725,490.206475
433.912375,490.357575
433.945,490.529825
433.970675,490.63015
433.995775,490.693425
434.027575,490.718275
434.15,490.871275
434.165175,491.08155
434.186325,491.195475
434.204775,491.228575
434.21785,491.236725
434.2431,491.353425
434.2548,491.415875
434.27325,491.501475
434.283525,491.506
434.2925,491.534375
434.31335,491.697725
434.339225,491.72275
434.39685,491.75525
434.46345,491.779175
434.493175,491.8368
434.5214,491.8392
434.573625,491.891875
434.595625,491.9789
434.60955,491.98655
434.62245,491.9915
434.637925,492.0628
434.649575,492.128775
434.676025,492.2008
434.69235,492.275125
434.7102,492.3025
434.722525,492.357825
434.736,492.404675
434.7509,492.492225
434.766525,492.577925
434.7865,492.583375
434.79625,492.6831
434.806525,492.856475
434.82445,492.902125
434.87865,492.91605
434.921625,492.940175
434.931825,492.961875
434.955975,493.078375
434.976325,493.128775
434.994925,493.277875
435.014625,493.2914
435.038725,493.5021
435.0516,493.712075
435.0674,493.78185
435.0843,493.85355
435.108875,493.86585
435.117575,493.8711
435.148625,493.901225
435.177575,494.059875
435.204225,494.07615
435.22765,494.07895
435.2978,494.088975
435.33765,494.102525
435.391275,494.111025
435.411975,494.11245
435.4265,494.119025
435.440725,494.127875
435.454225,494.1433
435.479875,494.1689
435.490425,494.1858
435.50175,494.21475
435.515625,494.2575
435.52835,494.261475
435.537675,494.26465
435.5551,494.427
435.571175,494.468475
435.58515,494.480425
435.598875,494.70535
435.613725,494.765825
435.626125,494.80885
435.633225,494.843225
435.650625,495.027875
435.65835,495.048075
435.698775,495.089225
435.717825,495.16125
435.744625,495.572475
435.774125,495.679125
435.80445,495.7509
435.8373,495.7609
435.9114,495.775075
435.942875,495.791475
435.9703,495.802175
435.98075,495.8097
435.996575,495.844425
436.00955,495.848875
436.0203,495.856625
436.030825,495.878125
436.046375,495.917575
436.0555,495.9957
436.067975,496.0402
436.077275,496.05595
436.12685,496.08905
436.143075,496.1554
436.14875,496.208675
436.16295,496.244175
436.207175,496.533325
436.24715,496.73465
436.271075,496.81535
436.3003,496.83225
436.3448,496.83375
436.3642,496.980625
436.385325,497.241125
436.413625,497.27785
436.4286,497.3129
436.43765,497.3216
436.46315,497.333525
436.4737,497.373875
436.48395,497.39515
436.49645,497.4503
436.51435,497.76825
436.522725,497.779575
436.536225,497.801375
436.546025,497.82595
436.5668,497.88835
436.58215,498.058875
436.59435,498.11595
436.625375,498.1625
436.6541,498.20565
436.65825,498.26145
436.715075,498.280775
436.73335,498.304725
436.759,498.33865
436.804175,498.354525
436.8248,498.3989
436.854975,498.44715
436.869625,498.6084
436.90905,498.6204
436.918425,498.76775
436.932475,498.8012
436.947525,498.843825
436.95825,498.90595
436.966875,499.043975
436.982875,499.104925
436.995275,499.1781
437.01635,499.4257
437.033725,499.471275
437.038975,499.501075
437.054575,499.661425
437.068075,499.7073
437.086025,499.84235
437.105675,499.892175
437.120825,499.905325
437.14085,500.008425
