SPK_SPKC05a (exc),SPK_SPKC15a (no response)
637.277975,699.697375
637.31135,699.859925
637.450175,699.939025
637.5128,700.0846
637.545525,700.185025
637.56615,700.24405
637.754525,700.29755
637.78795,700.365925
637.83355,700.411775
637.956325,700.617075
638.17615,700.6565
638.38005,700.820425
638.4729,700.836925
638.6131,700.92325
638.619525,701.079675
638.6589,701.090875
638.6692,701.164525
638.832475,701.18665
638.867,701.216775
639.065225,701.232725
639.190075,701.264675
639.254075,701.285075
639.324325,701.32365
639.4699,701.3428
639.576425,701.376725
639.8792,701.396175
639.91715,701.415825
639.973025,701.468525
640.1588,701.497675
640.162875,701.7128
640.271275,701.927075
640.304775,702.036375
640.3758,702.0786
640.497775,702.1171
640.579275,702.19185
640.587825,702.237675
640.704525,702.26935
640.747775,702.313125
640.757575,702.374275
640.763625,702.497675
640.781275,702.533775
640.792975,702.674575
640.8653,702.748
640.935725,702.789375
640.949875,702.827175
641.043775,703.009725
641.07135,703.0299
641.18565,703.061125
641.217625,703.159325
641.225925,703.2148
641.258475,703.256875
641.2644,703.29725
641.33805,703.3317
641.402425,703.364075
641.438575,703.41615
641.5193,703.443975
641.5221,703.52605
641.556525,703.541825
641.62095,703.59
641.6952,703.710125
641.72545,703.731175
641.747525,703.876
641.7748,703.95705
641.82515,704.07315
641.961475,704.221325
642.052,704.24365
642.056275,704.310925
642.163875,704.381825
642.205675,704.424625
642.217625,704.444975
642.2252,704.4747
642.300225,704.514075
642.38745,704.637625
642.391275,704.7063
642.474175,704.754025
642.4936,704.7972
642.51565,704.9059
642.533125,705.0016
642.56295,705.0776
642.593975,705.2478
642.65485,705.49505
642.715775,705.558475
642.796275,705.832525
642.86225,705.911625
642.926075,705.95075
642.96055,706.06385
642.98505,706.179325
643.194675,706.257275
643.308225,706.29345
643.3626,706.371
643.4138,706.494025
643.453225,706.57925
643.49165,706.871225
643.5778,707.46995
643.580425,707.6743
643.594375,707.82335
643.5981,708.044725
643.620775,708.08415
643.707925,708.1553
643.72465,708.31795
643.7803,708.515375
643.7985,708.613975
643.801625,708.647225
643.862825,708.773475
643.895075,708.871675
643.912825,709.209925
643.924075,709.45345
643.936275,709.587925
643.947125,709.637775
643.960125,709.6903
643.9707,709.763375
643.99225,709.820025
644.0823,709.859675
644.09705,710.331225
644.17645,710.401825
644.196325,710.49815
644.2348,710.5746
644.29455,710.60995
644.31655,710.671625
644.326575,711.097275
644.34135,711.25255
644.656,711.33845
644.718975,711.400125
644.81005,711.42745
644.892325,711.723825
644.94695,712.005875
645.0748,712.09395
645.125925,712.1616
645.160375,712.2514
645.210475,712.4457
645.2482,712.607325
645.337875,712.735175
645.36185,712.87455
645.53865,712.886375
645.578575,712.91395
645.61385,712.961175
645.6168,713.0105
645.6407,713.725975
645.707425,713.8664
645.717775,714.205825
645.744975,714.519575
645.7979,714.59615
645.85635,715.02395
645.9327,715.59305
645.9799,715.6772
646.068575,715.81765
646.270125,716.148425
646.32915,716.37295
646.355725,716.573825
646.3975,716.79865
646.41585,716.936175
646.446875,717.105425
646.561275,717.3933
646.694775,717.8437
646.70315,718.04415
646.72005,718.278975
646.8547,718.552875
646.89535,718.6376
646.91505,719.0795
646.942,719.5639
646.9816,719.783525
646.992425,720.112175
647.047025,720.27665
647.1455,720.557275
647.2323,720.878725
647.256475,721.039075
647.384025,721.3914
647.574375,721.682325
647.773125,722.27285
648.150475,722.530225
648.406125,722.937675
648.614375,723.106175
648.718675,723.274325
648.818175,723.4078
648.8884,723.5095
648.9097,723.746875
649.023375,724.274325
649.0416,724.536675
649.169275,724.64005
649.3826,724.890075
649.47465,724.98045
649.57775,725.1844
649.586525,725.367425
649.737025,725.629925
649.79105,725.8001
649.850325,726.59
649.86275,726.661925
649.9845,727.317425
650.22505,729.341075
650.4426,729.543675
650.4451,729.767575
650.46095,732.043825
650.783375,732.97635
650.957875,733.761675
650.968175,733.824425
651.057225,733.898675
651.122625,734.68885
651.17435,734.93825
651.45175,734.992925
651.589775,735.0263
651.890075,735.0666
651.9408,735.115725
651.9599,735.303225
651.9669,735.36275
651.97185,735.54425
652.163475,735.6277
652.322275,736.6991
652.411775,737.20585
652.5256,738.1501
652.568175,738.7504
652.684675,738.827525
652.748275,739.400825
652.832375,739.578875
653.01945,739.72225
653.1246,739.79395
653.2006,739.842975
653.3722,739.892625
653.4199,739.905175
653.474175,739.930025
653.5441,739.951
653.5938,740.102125
653.706725,740.1208
653.731825,740.236675
653.845325,740.416925
653.8875,740.4667
653.933475,740.5014
654.027925,740.544425
654.119875,740.716025
654.179975,740.79125
654.229975,740.9991
654.314625,741.11455
654.43025,741.177425
654.438225,741.31105
654.4877,741.327075
654.556575,741.360325
654.5933,741.39575
654.6983,741.445825
654.71915,741.48805
654.8681,741.5291
654.878575,741.654175
655.024,741.7185
655.03005,741.9098
655.066975,741.9286
655.180975,741.95585
655.193975,742.06385
655.3449,742.377525
655.508375,742.440175
655.671275,742.475975
655.727275,742.73035
655.87505,742.795075
656.0363,742.99495
