SPK_SPKC06a (NA),SPK_SPKC08a (NA),SPK_SPKC13a (excited),SPK_SPKC13b (excited),SPK_SPKC16a (NA)
,,26.67725,,
,,26.693625,,
,,26.7141,,
,,26.735775,,
,,26.75375,,
,,26.78335,,
,,26.814125,,
,,26.8367,,
,,26.857525,,
,,26.8752,,
,,26.8816,,
,,26.88985,,
,,26.899625,,
,,26.9095,,
,,26.939975,,
,,26.9703,,
,,27.0284,,
,,27.082225,,
,,27.115475,,
,,27.14835,,
,,27.1875,,
,,27.22485,,
,,27.256325,,
,,27.29265,,
,,27.323925,,
,,27.3599,,
,,27.39135,,
,,27.416025,,
,,27.44015,,
,,27.4619,,
,,27.495125,,
,,27.507275,,
,,27.535875,,
,,27.556625,,
,,27.587,,
,,27.620025,,
,,27.6581,,
,,27.695425,,
,,27.726275,,
,,27.763775,,
,,27.80435,,
,,27.830925,,
,,27.848,,
,,27.859725,,
,,27.8684,,
,,27.888725,,
,,27.9196,,
,,27.949625,,
,,27.971525,,
,,27.989475,,
,,28.004625,,
,,28.030625,,
,,28.0428,,
,,28.057675,,
,,28.0821,,
,,28.109075,,
,,28.14085,,
,,28.16455,,
,,28.192575,,
,,28.195,,
,,28.21055,,
,,28.241475,,
,,28.259325,,
,,28.2806,,
,,28.300575,,
,,28.330525,,
,,28.3702,,
,,28.401775,,
,,28.433425,,
,,28.45915,,
,,28.494575,,
,,28.527575,,
,,28.56785,,
,,28.604425,,
,,28.640425,,
,,28.678225,,
,,28.714,,
,,28.731825,,
,,28.753275,,
,,28.7651,,
,,28.770825,,
,,28.793975,,
,,28.816475,,
,,28.827925,,
,,28.8625,,
,,28.875075,,
,,28.901275,,
,,28.9315,,
,,28.952675,,
,,28.9854,,
,,29.018225,,
,,29.049025,,
,,29.091625,,
,,29.1297,,
,,29.155325,,
,,29.1956,,
,,29.207075,,
,,29.224425,,
,,29.243425,,
,,29.2592,,
