SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC09a
226.806275,235.434275,211.832225
226.811975,235.44005,211.8402
226.815425,235.46515,211.853925
226.82415,235.50585,211.871075
226.8406,235.586125,211.881425
226.845875,235.655575,211.890575
226.850575,235.685225,211.906125
226.861225,235.726475,211.918325
226.877,235.732475,211.9431
226.88265,235.7457,211.972875
226.8928,235.781575,212.017625
226.898725,235.81695,212.067675
226.918975,235.869475,212.099375
226.932575,235.88615,212.1187
226.937,235.900275,212.1503
226.9418,235.95035,212.189925
226.946825,236.02755,212.210425
226.9569,236.102025,212.216825
226.96655,236.1224,212.22745
226.973475,236.133075,212.23535
226.97915,236.1439,212.24905
226.98575,236.16425,212.26095
226.997325,236.201725,212.273125
227.023625,236.227075,212.2854
227.0388,236.241525,212.299225
227.04995,236.246125,212.307
227.07015,236.2615,212.31635
227.09105,236.294525,212.32495
227.32325,236.307625,212.347225
227.3608,236.36885,212.358
227.36915,236.46425,212.367275
227.372625,236.48245,212.380825
227.379225,236.53345,212.3927
227.38585,236.6723,212.400675
227.38995,236.734825,212.4098
227.393925,236.825425,212.418275
227.397575,236.843325,212.425475
227.4067,236.9066,212.438075
227.43745,236.9245,212.451625
227.452425,236.9303,212.466
227.626075,236.970625,212.493425
227.7338,236.979475,212.510175
227.740575,237.003375,212.53105
227.743825,237.0448,212.645325
227.759225,237.070025,212.668125
227.76235,237.0807,212.708
227.768925,237.12925,212.739425
227.774375,237.147175,212.750825
227.779825,237.16905,212.767675
227.78265,237.175175,212.7936
227.7861,237.2709,212.807175
227.7895,237.442675,212.816225
227.7932,237.46175,212.826525
227.796825,237.474625,212.83645
227.808375,237.479475,212.846775
227.8141,237.484825,212.85585
227.819775,237.488225,212.877925
227.8328,237.542475,212.88835
227.8397,237.696175,212.8959
227.8447,237.700475,212.91515
227.856775,237.7272,212.921625
227.86365,237.73865,212.929875
227.8769,237.831675,212.93785
227.8841,237.973175,212.945475
227.891725,238.0226,212.9591
227.90975,238.02835,212.97455
227.915525,238.042375,212.984925
227.920025,238.0568,212.99875
227.931925,238.14145,213.006775
227.93745,238.198025,213.03765
227.947275,238.203575,213.051225
227.953625,238.221625,213.06675
227.960725,238.29775,213.092125
227.968175,238.3037,213.134825
227.978325,238.3107,213.1559
227.990425,238.341375,213.18645
228.19265,238.3545,213.22155
228.208825,238.4229,213.24055
228.244025,238.5478,213.2721
228.2475,238.55855,213.2902
228.25175,238.57,213.3399
228.258575,238.586375,213.38555
228.264,238.65425,213.39855
