SPK_SPKC01a (inhibited),SPK_SPKC03a (excitation + inhibition),SPK_SPKC04a (excited),SPK_SPKC04b (inhibited),SPK_SPKC08a (inhibition + excitation),SPK_SPKC09a (excitation + inhibition),SPK_SPKC09b (no effect),SPK_SPKC12a (weak inhibition),SPK_SPKC16a (excited),SPK_SPKC16b (excited)
5.9038,49.7288,175.29005,19.8137,89.516275,22.30465,6.930225,14.23255,676.58655,11.265675
5.9149,49.787725,176.173725,19.8468,90.024425,22.308975,6.961025,14.285375,680.886525,11.341175
5.950725,50.463025,177.13705,19.98175,90.1584,22.507575,6.962775,14.499,689.140675,11.349825
5.9731,50.5863,179.244675,20.1018,90.364975,22.610475,6.995,14.524075,692.048025,11.3536
5.9925,50.65025,179.26285,20.1839,90.427625,22.848025,7.02495,14.549125,693.180425,11.366725
5.9941,50.68255,179.39085,20.19725,91.5966,22.919,7.05485,14.57595,695.492075,11.36985
6.008225,50.7769,180.160625,20.455475,92.144,22.981675,7.0826,14.64375,697.953725,11.383075
6.0093,50.85635,180.846475,20.476725,92.984325,23.18665,7.1222,14.648325,706.059225,11.45415
6.021975,51.369075,181.577175,20.6606,93.02435,23.366,7.143525,14.687175,710.46615,11.5112
6.025675,51.433225,182.37435,20.814875,93.06005,23.5126,7.180625,14.79225,713.319475,11.561075
6.040675,51.45425,183.628225,20.863775,93.551025,23.748925,7.205975,14.7997,717.5133,11.61415
6.053,51.666075,184.4568,20.929725,93.568825,23.797525,7.208,14.8279,717.7416,11.74055
6.058975,51.9272,186.67185,20.9717,93.727375,23.834,7.23335,14.86425,731.555775,11.77455
6.070125,51.965525,187.280625,21.116675,93.937975,24.0665,7.2648,14.8759,741.18975,11.810725
6.072875,52.485,188.2178,21.2883,94.2951,24.190075,7.270325,15.11695,741.27315,11.861575
6.08945,52.68505,188.621575,21.29855,94.9543,24.257425,7.30985,15.144925,742.0525,12.0203
6.1136,52.863125,188.738025,21.344475,94.97195,24.293,7.379675,15.151175,742.22095,12.026425
6.1295,52.965125,189.083075,21.6738,94.99485,24.326775,7.39595,15.236625,748.454825,12.065075
6.16745,53.05175,190.509475,21.827525,95.066525,24.3721,7.41945,15.332375,748.48805,12.094975
6.19125,53.439475,193.17095,22.0068,95.314275,24.470225,7.4378,15.33465,757.91795,12.131525
6.20085,53.765275,193.460675,22.104575,96.01025,24.476875,7.44095,15.357725,757.966125,12.166475
6.235975,53.956475,193.52975,22.1173,96.283975,24.495525,7.462825,15.4066,758.220625,12.299225
6.272825,54.176575,194.542925,22.320925,96.587775,24.53845,7.503425,15.431225,763.270825,12.32
6.30165,54.55015,194.59515,22.506075,96.81805,24.5421,7.51175,15.50265,776.0953,12.356575
6.32245,54.789325,195.0537,22.524275,97.430175,24.55795,7.54845,15.6018,776.92405,12.36115
6.344,54.9848,195.265225,22.835825,98.4703,24.5636,7.552275,15.622025,783.4336,12.37845
6.374525,55.4252,196.37205,22.89245,98.5625,24.5949,7.592275,15.6479,785.79185,12.38165
