SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC15a,SPK_SPKC16a
317.8554,307.38225,308.237,304.7116,312.654625,308.176525,305.134325,309.4054,309.046925
317.907825,307.39375,308.2565,304.730975,312.6743,308.197125,305.148475,309.475825,309.054525
318.032975,307.4514,308.2728,304.746125,312.7081,308.21255,305.15925,309.48105,309.064025
318.296475,307.49955,308.29695,304.757775,312.725875,308.23085,305.1723,309.48805,309.072525
318.398025,307.578825,308.300525,304.7726,312.78265,308.257875,305.21055,309.5515,309.082
318.46525,307.623825,308.315425,304.78905,312.821875,308.27785,305.219275,309.592625,309.08845
318.5442,307.68195,308.352425,304.806175,312.87165,308.299375,305.23015,309.61955,309.1008
318.631525,307.696425,308.374325,304.820575,312.920725,308.315525,305.242175,309.6272,309.110375
318.702525,307.703125,308.399775,304.842375,312.936975,308.342275,305.251375,309.64275,309.124275
318.74445,307.714525,308.426175,304.860525,312.95625,308.3695,305.260225,309.734375,309.202775
318.761625,307.73415,308.453575,304.88085,313.04755,308.410675,305.267,309.8529,309.270825
318.91065,307.7522,308.4673,304.90435,313.089975,308.431875,305.28065,309.90605,309.3038
318.94,307.765125,308.4934,304.920675,313.09335,308.455425,305.2877,309.967825,309.36885
318.959525,307.767675,308.51675,304.941775,313.114875,308.490275,305.296825,309.991925,309.38055
318.989625,307.772225,308.5643,304.9638,313.135675,308.5059,305.30775,310.084525,309.4054
319.0214,307.78835,308.591,304.97955,313.154675,308.521475,305.316475,310.127925,309.418225
319.23225,307.80175,308.617425,304.993325,313.1825,308.544375,305.32895,310.15985,309.4375
319.3227,307.83225,308.643925,305.00995,313.211,308.57435,305.3413,310.169175,309.444
319.359575,307.8524,308.671075,305.026325,313.2757,308.5947,305.34935,310.1798,309.4758
319.38535,307.86835,308.6909,305.042925,313.3376,308.624075,305.360025,310.206425,309.493275
319.416675,307.886625,308.7066,305.05565,313.36585,308.638725,305.3675,310.214625,309.5241
319.469325,307.91815,308.730625,305.0682,313.420425,308.6656,305.3772,310.22615,309.54155
319.697275,307.95535,308.7541,305.0965,313.4449,308.712475,305.38575,310.232075,309.546325
319.734125,307.987525,308.7723,305.112825,313.476975,308.750525,305.3965,310.28555,309.551475
319.850275,308.011325,308.78885,305.135575,313.548,308.77075,305.413025,310.297325,309.56565
319.88285,308.04485,308.8158,305.153575,313.585,308.79605,305.422525,310.30515,309.571225
320.015325,308.07225,308.84545,305.1848,313.7019,308.83085,305.43215,310.33075,309.5802
320.0359,308.094775,308.885,305.2097,313.727475,308.858625,305.44395,310.34915,309.5926
320.125,308.154125,308.91455,305.226975,313.762425,308.87185,305.455225,310.35375,309.6028
320.17455,308.174425,308.91955,305.240125,313.77175,308.8837,305.46685,310.44435,309.610175
320.3241,308.195075,308.929075,305.2526,313.81885,308.906575,305.47615,310.46445,309.61955
320.33915,308.208575,308.9521,305.2638,313.8643,308.94295,305.484325,310.47545,309.63665
320.475075,308.267225,308.984825,305.28585,313.89255,308.963625,305.49135,310.602675,309.6457
320.51,308.32815,309.0174,305.297275,313.938575,308.99545,305.500725,310.6278,309.65105
320.543175,308.34885,309.057225,305.310125,313.971725,309.007375,305.509825,310.6408,309.699175
320.63505,308.377725,309.084125,305.317225,314.00265,309.03195,305.523775,310.6534,309.734375
320.738025,308.3966,309.10705,305.31935,314.040925,309.047725,305.5348,310.69725,309.8091
320.7824,308.43725,309.127375,305.34245,314.077675,309.056575,305.54595,310.70295,309.8722
320.814225,308.464625,309.1639,305.352575,314.157975,309.0877,305.55915,310.713625,309.877475
320.8567,308.48925,309.188025,305.36105,314.19665,309.118075,305.5697,310.757625,309.91675
320.961375,308.49825,309.207475,305.363175,314.218575,309.15275,305.58655,310.764125,309.967825
321.00135,308.531975,309.232275,305.384025,314.238575,309.1688,305.598625,310.79155,309.974375
321.0339,308.539875,309.241925,305.395825,314.287325,309.191225,305.611475,310.793025,309.98135
321.0914,308.568825,309.25715,305.407475,314.31435,309.20235,305.626875,310.804125,309.9919
321.167975,308.5953,309.31625,305.415925,314.392025,309.229075,305.6397,311.010225,310.015625
321.33575,308.623575,309.404975,305.43075,314.558225,309.24465,305.674925,311.022825,310.02725
321.352675,308.64185,309.426675,305.43255,314.58495,309.265075,305.69755,311.03555,310.084525
