SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC10b
60.272775,18.874775,37.1262,,18.160075,17.782975,47.406375,6.000575
60.38725,18.9093,37.144175,,18.167725,17.84745,47.730375,6.059225
60.737,18.96065,37.720925,,18.249325,17.88155,48.23005,6.1251
60.919125,18.974325,37.78935,,18.2701,17.930725,48.323975,6.128
60.922075,18.982175,37.830775,,18.39675,18.0459,48.363125,6.14835
61.00685,19.026,38.013275,,18.566225,18.089425,48.392425,6.163875
61.269075,19.028325,38.107425,,18.5819,18.171175,48.430625,6.201725
62.058475,19.340375,38.322675,,18.718875,18.2316,48.537925,6.229475
62.156975,19.55565,38.66275,,18.761425,18.333925,48.87655,6.259125
62.42055,20.33975,38.677975,,18.809225,18.44575,48.9323,6.289925
62.445875,20.784325,38.72105,,18.8644,18.4653,49.210625,6.3139
62.757475,20.836775,39.109025,,19.1199,18.509975,49.676675,6.319775
62.853525,21.113375,39.197,,19.139875,18.624125,49.8479,6.340275
63.019375,21.1211,39.216675,,19.1483,18.679125,50.3017,6.356625
63.221575,21.1502,39.268775,,19.409925,18.685475,50.885875,6.364725
63.80725,21.523125,39.315675,,19.570975,18.708225,51.00035,6.370225
63.828225,21.6586,39.388025,,19.648425,18.752725,51.041575,6.39135
63.891725,21.730075,39.432,,19.73685,18.765425,51.10615,6.40485
63.927675,21.740875,39.455125,,19.779075,18.805475,52.13165,6.407575
64.04245,21.797025,39.4932,,19.784,18.925,52.2269,6.425325
64.04435,22.169575,40.079175,,19.824225,19.00185,52.347225,6.4348
64.424375,22.34035,40.0939,,19.833575,19.06775,52.466275,6.44985
64.94515,22.44195,40.167425,,19.85855,19.132875,53.44635,6.48655
65.22815,23.204225,40.19835,,19.9106,19.18095,53.77375,6.49825
66.03865,23.323125,40.30115,,19.967125,19.238175,53.79155,6.566925
67.6392,23.4045,40.88615,,19.971,19.28185,53.864375,6.5813
67.664425,23.9007,40.943075,,20.21385,19.292375,54.178825,6.6155
68.29645,24.22135,40.994625,,20.31125,19.6128,54.209175,6.659175
68.358825,24.273225,41.03885,,20.32835,19.682,54.28425,6.7399
68.373675,24.362275,41.07605,,20.4151,19.728125,54.525675,6.776925
68.586575,24.434275,41.0903,,20.41755,19.8042,54.681225,6.795625
69.171225,24.463,41.18515,,20.450225,19.873625,54.696375,6.8229
69.1773,24.471675,41.4843,,20.462125,20.013125,54.8728,6.8458
69.3142,24.482575,41.53975,,20.521475,20.16825,54.8851,6.9044
69.6468,24.505425,41.97675,,20.5623,20.243825,55.747075,6.951375
69.929125,24.520525,42.06095,,20.877725,20.299325,55.755925,6.96715
69.9451,24.545125,42.15025,,21.056875,20.352825,55.897225,6.971925
70.20175,24.557175,42.20835,,21.120725,20.394325,55.9428,7.00155
70.469175,24.56185,42.28525,,21.180725,20.498425,55.951425,7.020975
70.952725,24.573675,42.431,,21.198675,20.54775,56.00805,7.050325
71.022825,24.59595,42.5691,,21.26845,20.614375,56.154525,7.08605
71.349725,24.600525,43.04455,,21.272775,20.666175,56.311075,7.11765
71.57575,24.621775,43.263525,,21.301525,20.72475,56.38305,7.164675
72.176625,24.966775,43.281775,,21.40915,20.9031,56.593075,7.168025
72.4344,25.049225,43.363225,,21.52755,21.012625,56.698825,7.20015
72.5447,25.45245,44.376075,,21.668025,21.0869,57.123175,7.205775
72.5676,25.48785,44.993475,,21.6794,21.1681,57.304025,7.243825
72.7929,25.631475,45.140875,,21.71105,21.2958,58.121325,7.264325
72.958625,25.772525,45.1764,,21.71675,21.397025,58.695075,7.310225
73.023775,25.9121,45.225425,,21.852,21.466675,59.1823,7.331225
73.3746,26.146025,45.4504,,21.866225,21.529725,59.4284,7.3844
73.389225,26.159925,45.550525,,21.942375,21.603725,59.628125,7.401975
73.559375,26.28925,45.56265,,21.9702,21.7374,59.656675,7.407725
73.686325,26.548425,45.628,,21.982125,21.86155,59.70835,7.444375
73.77215,26.5715,45.808675,,21.99725,21.94355,60.22815,7.485775
73.9851,27.0871,45.979375,,22.01405,22.095375,60.265475,7.55695
74.07185,27.2062,46.120325,,22.292425,22.191275,60.36875,7.561725
74.357675,27.22335,46.20255,,22.35755,22.23885,60.521,7.569775
74.39715,27.49625,46.4192,,22.3913,22.336525,60.5626,7.5996
74.62445,27.53015,46.45695,,22.557625,22.37745,60.582725,7.611825
74.875,27.5707,46.704175,,22.56,22.388025,60.7766,7.623275
74.940975,27.623,46.91115,,22.5679,22.422375,60.8288,7.636425
75.021875,27.6377,46.96955,,22.59955,22.45815,60.86065,7.64105
75.374825,27.6417,47.19725,,22.642025,22.534475,60.86485,7.654275
75.482525,28.16445,47.584725,,22.670425,22.58085,60.909625,7.66865
75.733825,28.649175,47.625125,,22.753475,22.683225,61.231725,7.694125
76.006125,28.68885,47.713025,,22.792425,22.862,61.538875,7.720475
76.50165,28.7035,47.9136,,22.908,22.95815,61.540775,7.7355
76.55775,28.806175,47.956025,,23.33675,23.0188,61.94295,7.760175
76.795675,28.822425,47.97015,,23.464325,23.14745,61.9577,7.770575
76.94,28.83235,47.97705,,23.505175,23.35675,62.195875,7.77305
77.13385,28.846225,48.013675,,23.5826,23.381125,62.447625,7.786475
77.263325,28.867575,48.5433,,23.606575,23.41665,62.600725,7.79955
77.3497,28.886125,48.5921,,23.66845,23.47375,62.64715,7.8157
77.431425,29.0599,48.9514,,23.875975,23.672975,62.947125,7.844975
