SPK_SPKC05a (inhi),SPK_SPKC09b (exc),SPK_SPKC09c (inhi)
422.1882,443.499825,421.997275
422.211975,443.610075,422.087875
422.242625,443.6535,422.1031
422.265075,443.69555,422.1255
422.26795,443.733325,422.141275
422.288975,443.763975,422.162525
422.3077,443.768675,422.18315
422.330225,443.831825,422.1993
422.353925,443.86915,422.2325
422.364,443.9014,422.2459
422.374375,443.9972,422.2649
422.39665,444.139775,422.30065
422.4152,444.1907,422.317075
422.425125,444.2953,422.3379
422.4422,444.30005,422.3561
422.448525,444.336125,422.380125
422.461325,444.375725,422.397675
422.482675,444.4212,422.4149
422.502,444.440725,422.43365
422.53255,444.489525,422.450725
422.568925,444.50105,422.474425
422.6305,444.57085,422.49555
422.664175,444.6091,422.5332
422.682875,444.62485,422.567
422.703025,444.669075,422.63815
422.717825,444.741325,422.66935
422.736625,444.78225,422.695375
422.755275,444.857475,422.712725
422.777425,444.973325,422.730125
422.802775,444.98555,422.75045
422.82275,445.016775,422.773
422.851975,445.0558,422.792325
422.8879,445.08505,422.81235
422.915825,445.116075,422.8531
422.929725,445.231275,422.8836
422.949,445.29745,422.91985
422.955575,445.425525,422.94295
422.972125,445.53745,422.964725
422.989875,445.5837,422.980375
423.0057,445.633175,422.9962
423.0135,445.6526,423.02175
423.029125,445.731275,423.037125
423.057475,445.7671,423.05325
423.07745,445.768675,423.06885
423.093225,445.8726,423.093925
423.101725,446.01035,423.11245
423.111125,446.054675,423.13025
423.1192,446.112125,423.16335
423.145475,446.1909,423.18145
423.161625,446.2814,423.198675
423.1828,446.326925,423.221225
423.196375,446.36415,423.234675
423.2129,446.397225,423.26155
423.23155,446.547625,423.270425
423.246725,446.567575,423.276475
423.263,446.598925,423.302575
423.281125,446.659975,423.32395
423.298675,446.69825,423.353525
423.316875,446.7162,423.376025
423.3751,446.7536,423.4018
423.404175,446.94125,423.434825
423.442475,447.001475,423.471
423.474925,447.052925,423.529175
423.50325,447.0939,423.545725
423.5385,447.1264,423.5626
423.55195,447.168475,423.58465
423.563675,447.177725,423.610675
423.5848,447.218525,423.629425
423.59845,447.268525,423.6473
423.61345,447.47215,423.675125
423.632525,447.473425,423.694175
423.65495,447.505175,423.697375
423.688175,447.524325,423.746625
423.722475,447.550375,423.768325
423.76085,447.568925,423.7919
423.781125,447.6375,423.81235
423.7982,447.689625,423.8279
423.83945,447.728425,423.87025
423.86305,447.76005,423.888975
423.8845,447.79715,423.90615
423.90215,447.827525,423.924625
423.91525,447.84125,423.937025
423.924225,447.911325,423.948725
423.9313,447.971875,423.9585
423.95295,448.049925,423.974775
423.963175,448.07555,424.012975
423.9712,448.14025,424.0241
423.99885,448.1642,424.046475
424.011125,448.197625,424.061775
424.02375,448.2923,424.077575
424.0398,448.3258,424.0915
424.052175,448.367,424.150425
424.062875,448.463425,424.17775
424.07245,448.498375,424.20245
424.079575,448.5492,424.225975
424.08735,448.59305,424.2627
424.120075,448.6421,424.3073
424.13355,448.695225,424.33755
424.14495,448.7977,424.356225
424.16275,448.838475,424.380625
424.186375,448.87305,424.40235
424.2176,448.936725,424.41265
424.236725,449.15155,424.425025
424.268075,449.219025,424.4352
424.3008,449.25095,424.44925
424.331025,449.28145,424.46325
424.33235,449.306825,424.48285
424.39375,449.352425,424.49865
424.4043,449.44335,424.5444
424.4148,449.4881,424.582475
424.4301,449.524775,424.620975
424.436625,449.679475,424.6449
424.44945,449.722125,424.68675
424.466425,449.77955,424.699425
424.479525,449.879675,424.718175
424.50315,449.92625,424.7275
424.522775,449.95535,424.740025
424.54295,449.977425,424.7524
424.570225,450.01335,424.767725
424.59035,450.04695,424.777925
424.619675,450.09,424.786075
424.642625,450.14785,424.80195
424.6958,450.178925,424.840975
424.7152,450.2751,424.8696
424.73095,450.3007,424.918125
424.738525,450.303275,424.9435
424.746325,450.380925,424.9716
424.757075,450.439225,425.0039
424.772,450.4845,425.035975
424.79045,450.499875,425.06435
424.807475,450.60145,425.092825
424.827275,450.630125,425.134475
424.871975,450.65155,425.151475
424.902725,450.6786,425.170425
424.93295,450.6862,425.195625
424.983625,450.793425,425.2386
425.046175,450.826325,425.27135
425.0833,450.88855,425.3002
425.102975,450.941675,425.3432
425.1197,450.978775,425.378675
425.1376,451.024325,425.413175
425.151625,451.107975,425.44335
425.19805,451.1461,425.469325
425.229925,451.18955,425.504175
425.25945,451.25675,425.532525
425.299125,451.2753,425.5516
425.3353,451.289125,425.566725
425.3636,451.310125,425.5873
425.39075,451.36415,425.6035
425.419975,451.392525,425.625925
425.44885,451.464225,425.6833
425.47715,451.5105,425.714025
425.5002,451.56465,425.74255
425.524075,451.593675,425.75815
425.534675,451.632275,425.81245
425.553275,451.68735,425.8306
425.572975,451.755525,425.85605
425.617075,451.83125,425.871175
425.6535,451.887825,425.881425
425.7007,451.96755,425.897825
425.75525,452.0064,425.913725
425.7843,452.0417,425.932175
425.820525,452.08775,425.950025
425.842725,452.132525,426.015875
425.8622,452.26065,426.08825
425.8804,452.28275,426.124425
425.89345,452.287375,426.14635
425.9102,452.31615,426.148975
425.944925,452.34635,426.172775
426.004075,452.471,426.1878
426.04135,452.50375,426.199125
426.06535,452.5772,426.20925
426.10255,452.627725,426.2192
426.188625,452.6735,426.236675
426.20125,452.675325,426.252025
426.206675,452.825725,426.26365
426.2193,452.827175,426.278975
426.2322,452.913475,426.314525
426.248525,453.028325,426.37585
426.27555,453.1273,426.430675
426.286125,453.197975,426.498275
426.31765,453.228775,426.51005
426.35925,453.252175,426.525125
426.39315,453.3007,426.533575
