SPK_SPKC03a (weak inhi),SPK_SPKC08a (exc),SPK_SPKC09a (no response),SPK_SPKC10b (weak inhi),SPK_SPKC11a (no response)
262.3205,280.106475,259.341075,268.013725,259.086125
262.35595,280.13195,259.34875,268.0479,259.11525
262.394225,280.13725,259.365675,268.074325,259.141675
262.4428,280.17685,259.406625,268.106775,259.2113
262.5338,280.886475,259.42175,268.198875,259.225525
262.541225,280.987025,259.436975,268.2109,259.236475
262.557425,280.989125,259.47645,268.2467,259.256325
262.593725,281.0028,259.4949,268.3054,259.2884
262.6174,281.03185,259.5346,268.3594,259.315525
262.63735,281.118675,259.564825,268.413325,259.34245
262.7709,281.3894,259.58465,268.416125,259.364375
262.792575,281.52305,259.6258,268.465575,259.40665
262.811075,281.533125,259.6805,268.50005,259.4507
262.8625,281.5367,259.71525,268.554575,259.487575
262.898525,281.72655,259.77465,268.5607,259.50165
262.9155,281.7382,259.8079,268.60445,259.521375
262.9395,281.83155,259.826475,268.629875,259.543375
263.013625,281.9574,259.884175,268.6676,259.5746
263.1273,282.148625,259.915475,268.760875,259.6055
263.149275,282.153175,259.989725,268.785575,259.64135
263.18515,282.171725,260.016875,268.8453,259.66175
263.22235,282.202525,260.03535,268.885225,259.686425
263.241325,282.28155,260.0564,268.910225,259.6965
263.255575,282.8921,260.09295,268.975575,259.722625
263.300825,283.144,260.1126,268.997325,259.74645
263.3261,283.1684,260.13145,269.0538,259.7691
263.355425,283.202375,260.166175,269.081575,259.81315
263.375975,283.2911,260.1949,269.1109,259.836
263.3913,283.9833,260.24315,269.15625,259.889225
263.4122,283.988375,260.25265,269.167925,259.9568
263.435775,283.9928,260.286375,269.23945,259.9842
263.454725,284.223925,260.35455,269.276475,260.019625
263.467075,284.2553,260.376075,269.291625,260.040425
263.496975,284.35605,260.42025,269.32585,260.063875
263.5415,284.361975,260.429275,269.3637,260.0847
263.659625,284.6686,260.45095,269.55625,260.107
263.687625,284.679775,260.4859,269.584425,260.129
263.725575,284.68675,260.50035,269.76535,260.169325
263.7483,285.00615,260.526775,269.78305,260.202725
263.79305,285.009925,260.549375,269.818175,260.2263
263.90455,285.0387,260.6001,269.825675,260.288425
263.94205,285.567325,260.61945,269.8411,260.337025
263.965925,286.275125,260.701425,269.880775,260.368375
263.981075,286.464275,260.725925,269.908175,260.381175
264.00505,286.572175,260.753175,270.018475,260.40015
264.0357,286.63155,260.7686,270.065925,260.418425
264.050075,286.68595,260.819775,270.1119,260.439375
264.1371,286.7096,260.85515,270.1434,260.47035
264.17355,286.829825,260.89135,270.169325,260.48125
264.19515,286.917525,260.90345,270.221175,260.5079
264.236575,287.046025,260.9276,270.303175,260.534875
264.256475,287.303275,261.0026,270.334325,260.5642
264.2935,287.3112,261.023625,270.41615,260.6094
264.3308,287.405075,261.063075,270.5168,260.633525
264.34465,287.42095,261.0871,270.52395,260.673675
264.367075,287.46955,261.13975,270.584575,260.721825
264.457625,287.5753,261.1769,270.644025,260.7428
264.4884,287.83785,261.221275,270.65705,260.767625
264.511225,287.850125,261.2484,270.6923,260.7901
264.525775,288.09255,261.266775,270.7272,260.8124
264.6005,288.245175,261.32005,270.739825,260.838875
264.630475,288.248275,261.348725,270.7573,260.89225
264.654125,288.25525,261.369425,270.7623,260.91705
264.697375,288.257475,261.38725,270.900675,260.941125
264.719875,288.26155,261.4274,270.91815,260.967125
264.742975,288.2865,261.458175,270.926475,260.98405
264.821325,288.391775,261.474525,270.9329,261.01535
264.8497,288.4006,261.511175,271.0489,261.03555
264.8703,288.424825,261.532325,271.068625,261.053525
264.89725,288.43345,261.557525,271.189725,261.077625
264.933875,288.442575,261.583275,271.2086,261.146
264.941625,288.854925,261.599125,271.316875,261.18815
265.00265,288.871175,261.628025,271.386275,261.2215
265.07365,289.145325,261.63745,271.434075,261.248675
265.12765,289.148625,261.695625,271.4705,261.272425
265.167525,289.163575,261.71965,271.535625,261.3243
265.206625,289.42385,261.74555,271.538175,261.360575
265.224675,289.60485,261.778,271.5887,261.383875
265.248925,289.60865,261.81065,271.68275,261.4068
265.271875,289.620025,261.852025,271.75595,261.443975
265.34745,289.95875,261.892175,271.763825,261.460275
265.3678,290.183025,261.938825,271.815725,261.481475
265.484975,290.192625,261.939975,271.971775,261.505975
265.518225,290.195275,261.9673,272.04715,261.5305
265.5372,290.2058,261.988325,272.056675,261.5485
265.56475,290.217525,262.0016,272.119375,261.569875
265.591625,290.21995,262.041525,272.194125,261.6202
265.61365,290.601075,262.073825,272.2566,261.635525
265.6307,290.7238,262.090225,272.2889,261.672475
265.65235,290.93885,262.11625,272.303525,261.70205
265.707975,290.948475,262.135025,272.332075,261.77345
265.73055,291.34075,262.15355,272.449875,261.800525
265.748875,291.346075,262.1808,272.529525,261.8477
265.78765,291.385175,262.21445,272.577875,261.878525
265.8192,291.41675,262.23465,272.634625,261.9022
265.874675,291.764075,262.2671,272.654275,261.928225
265.910475,292.336225,262.3357,272.71225,261.95085
265.96025,292.35275,262.36385,272.739925,261.974525
266.07095,292.357325,262.3725,272.77095,262.016925
266.09725,292.53595,262.408475,272.865025,262.0376
266.175525,292.683075,262.4362,273.0368,262.058475
266.213675,292.686125,262.4527,273.06195,262.096125
266.275425,292.6998,262.47325,273.1941,262.122325
266.31185,292.771675,262.519475,273.2873,262.14025
266.345125,293.31035,262.544625,273.31965,262.162325
266.38575,293.34795,262.564225,273.3272,262.1889
266.431275,293.3577,262.60475,273.3316,262.21935
266.49775,293.470175,262.65165,273.350325,262.238725
266.5392,294.276825,262.688075,273.395275,262.262725
266.561025,294.2919,262.722475,273.4455,262.288075
266.578125,294.381475,262.747075,273.579125,262.3202
266.601425,295.154375,262.772525,273.5881,262.347925
266.6476,295.16285,262.8,273.593875,262.37185
266.711775,295.170475,262.81645,273.64815,262.414375
266.7357,295.3611,262.871125,273.694825,262.431775
266.81265,295.39305,262.898825,273.742125,262.455025
266.839225,295.72345,262.93775,273.760325,262.48625
266.869325,295.8481,262.9548,273.79405,262.504125
266.893325,296.5668,262.9643,273.834575,262.533825
266.932375,296.571675,262.998325,273.88195,262.5499
266.979775,296.672325,263.03705,273.987475,262.61525
267.051025,297.391475,263.097775,274.02715,262.648625
267.0631,297.4306,263.152025,274.065425,262.6969
267.082825,297.447375,263.16815,274.109025,262.72555
267.104875,297.47225,263.233725,274.1254,262.747725
267.146025,297.50645,263.256575,274.18385,262.76705
267.17195,297.549625,263.290675,274.20115,262.7952
267.189325,298.094625,263.311875,274.23405,262.8194
267.357225,298.09625,263.341775,274.31745,262.840875
267.382125,298.097825,263.367325,274.33145,262.89195
267.4472,298.1058,263.389675,274.355175,262.91535
267.48445,298.116775,263.434225,274.390225,262.939475
267.51135,298.2109,263.46635,274.4098,262.943225
267.5784,298.24585,263.47665,274.4202,262.9776
267.61375,298.416725,263.51805,274.44915,263.0014
267.6561,298.5205,263.56815,274.55055,263.1085
267.678625,298.62165,263.586575,274.6024,263.136225
267.727925,298.631525,263.599675,274.604675,263.165725
267.761325,298.8653,263.62145,274.625025,263.209475
267.777175,298.9044,263.689625,274.639525,263.232875
267.825425,299.0294,263.71815,274.6947,263.27845
267.8684,299.04645,263.76145,274.721525,263.29715
267.908425,299.9857,263.77365,274.79215,263.3227
267.929725,300.022025,263.793825,274.8446,263.3327
267.9669,300.139025,263.8212,274.902075,263.357775
268.001975,300.356525,263.837175,274.9046,263.386825
268.0857,300.36775,263.849125,274.93015,263.457475
268.10165,300.3763,263.9512,274.9654,263.48135
268.12545,300.394075,263.992025,274.997825,263.518325
268.143475,300.404175,264.009775,275.107925,263.57195
268.160875,300.85875,264.033625,275.147725,263.589375
268.1967,300.868975,264.060075,275.202875,263.60745
268.223,300.902425,264.07855,275.2411,263.679375
268.241525,301.0984,264.088375,275.349675,263.696325
268.266675,301.1103,264.1188,275.50465,263.718775
268.28815,301.1192,264.1387,275.533375,263.737575
268.364675,301.174325,264.165925,275.59075,263.752925
268.3863,301.181925,264.1976,275.6161,263.79315
268.442025,301.18845,264.256725,275.695775,263.8113
268.477275,301.1947,264.275975,275.76195,263.8372
268.49395,301.200725,264.307125,275.855575,263.871975
268.54085,301.755525,264.335075,275.8852,263.953675
268.5595,301.7708,264.351,275.908075,263.965925
268.6147,301.802525,264.398525,276.022375,263.998875
268.6329,301.942725,264.43215,276.066725,264.0592
268.66285,302.02655,264.438825,276.101375,264.076375
268.6908,302.62635,264.46665,276.183325,264.112225
268.726925,302.6908,264.49235,276.19635,264.128025
268.7499,302.7012,264.517025,276.223625,264.1937
268.77065,302.8344,264.54865,276.304325,264.217675
268.7918,303.367775,264.5843,276.387775,264.24335
268.8583,303.388825,264.61055,276.4054,264.267125
268.89275,303.3918,264.639325,276.4505,264.287925
268.91435,303.668375,264.646775,276.5712,264.321775
268.932875,304.032325,264.679825,276.58475,264.355725
268.95715,304.038275,264.72155,276.667925,264.3905
268.975325,304.04255,264.7429,276.670075,264.43885
269.008425,304.061575,264.764375,276.7317,264.460425
269.041275,304.0664,264.790275,276.754275,264.49165
269.062825,304.0748,264.810575,276.7899,264.55225
