SPK_SPKC04a (inhi),SPK_SPKC06a (inhi),SPK_SPKC09a (late exc),SPK_SPKC10a (exc),SPK_SPKC11a (inhi),SPK_SPKC11b (inhi),SPK_SPKC15a (inhi)
52.06135,46.242825,46.47275,75.806425,49.61965,45.3316,63.636475
52.148825,46.254625,46.4848,75.860575,49.640325,45.3426,63.683375
52.249925,46.269525,46.51025,76.0543,49.64695,45.3507,63.728175
52.2904,46.313575,46.51845,76.2498,49.67065,45.35995,63.8176
52.3165,46.325625,46.526975,76.371325,49.6942,45.3689,63.86895
52.331025,46.34855,46.535075,76.407925,49.704825,45.379775,63.918925
52.343625,46.3595,46.5468,76.47115,49.7175,45.388725,63.972075
52.369,46.3769,46.55555,76.58575,49.723575,45.40025,64.025575
52.413975,46.39205,46.577375,76.635525,49.73895,45.40685,64.14295
52.445125,46.404525,46.5872,76.871075,49.760575,45.4185,64.19735
52.473325,46.414975,46.597575,76.9757,49.798425,45.4261,64.241325
52.495025,46.4215,46.605925,77.041325,49.849375,45.4348,64.3475
52.54,46.44935,46.6661,77.0921,49.8653,45.45785,64.45105
52.593825,46.4812,46.681725,77.361525,49.881625,45.4711,64.560325
52.662975,46.493925,46.69025,77.42055,49.890025,45.482275,64.60655
52.6967,46.509025,46.708325,77.622925,49.9327,45.502625,64.66605
52.717575,46.54175,46.716375,77.6536,49.995775,45.51745,64.722225
52.736075,46.555375,46.73265,77.773525,50.0393,45.5335,64.7872
52.7469,46.5733,46.75135,77.89315,50.087975,45.547625,64.840675
52.76405,46.59395,46.779075,77.97845,50.118575,45.561375,64.89615
52.7889,46.611825,46.786525,78.219875,50.1505,45.573675,64.939525
52.802425,46.628225,46.8035,78.36425,50.16715,45.58255,65.043375
52.8694,46.6521,46.809725,78.419775,50.1864,45.58705,65.101925
52.88495,46.668075,46.83455,78.4979,50.199575,45.594975,65.215625
52.9013,46.684125,46.84555,78.60255,50.257025,45.601325,65.282075
52.9364,46.69745,46.855425,78.909675,50.267725,45.60935,65.383175
52.952925,46.71485,46.868925,78.97255,50.295025,45.61535,65.444925
52.9741,46.726,46.884825,79.14365,50.306975,45.62,65.493125
53.00805,46.741425,46.8925,79.206025,50.373025,45.628075,65.5463
53.03225,46.767925,46.930975,79.25615,50.433975,45.6359,65.59975
53.054725,46.779975,46.943975,79.33715,50.4821,45.644025,65.64845
53.066525,46.797075,46.95595,79.40285,50.49775,45.658725,65.704825
53.0915,46.8199,46.9643,79.546475,50.51115,45.6601,65.76315
53.1203,46.844825,46.992775,79.698175,50.54355,45.6652,65.832125
53.15365,46.8655,47.00845,79.7277,50.6608,45.6712,65.93985
53.33655,46.903375,47.0138,79.780175,50.680825,45.67875,65.99675
53.36515,46.929825,47.021925,79.939425,50.7003,45.68095,66.0529
53.3797,46.94275,47.059825,80.0606,50.708525,45.693825,66.1138
53.396675,46.961525,47.075775,80.10705,50.786175,45.698375,66.1818
53.4054,46.9836,47.09605,80.159575,50.8445,45.70775,66.2432
53.4096,46.999275,47.114875,80.184675,50.93605,45.715325,66.359925
53.4222,47.01825,47.124825,80.207575,51.028325,45.722225,66.421275
53.459675,47.042975,47.140275,80.613875,51.04575,45.7272,66.480775
53.507125,47.077325,47.14755,80.632925,51.124325,45.733875,66.545475
53.539175,47.095225,47.163325,80.689175,51.14205,45.742075,66.604325
53.569975,47.108525,47.17175,80.7655,51.19465,45.74825,66.6634
53.600275,47.133525,47.182625,80.80245,51.2596,45.7592,66.72125
53.634275,47.153775,47.189275,80.867925,51.277975,45.767325,66.769675
53.6596,47.200875,47.198375,81.12045,51.29525,45.780975,66.824
53.6907,47.2174,47.207225,81.152525,51.319875,45.791625,66.881425
53.721225,47.233575,47.214075,81.218175,51.364725,45.801375,66.945025
53.76605,47.252775,47.221125,81.30525,51.385275,45.814775,66.995775
53.81025,47.26355,47.230625,81.382425,51.4045,45.82765,67.060175
53.84655,47.284975,47.24095,81.7366,51.4496,45.84785,67.11195
53.89235,47.312725,47.276325,81.79375,51.4743,45.860475,67.1716
53.918625,47.33605,47.2791,81.8223,51.492175,45.8698,67.229225
53.9379,47.351575,47.2969,81.996475,51.504175,45.878775,67.358125
53.960525,47.3913,47.30845,82.069075,51.515175,45.8925,67.435075
53.9852,47.421525,47.324625,82.10205,51.527925,45.90625,67.4888
54.012875,47.4479,47.332525,82.14905,51.5567,45.93345,67.615925
54.033625,47.47445,47.353125,82.66095,51.57255,45.949625,67.68015
54.0558,47.497325,47.36125,82.696675,51.597575,45.95995,67.742475
54.10715,47.513925,47.380575,82.92725,51.641825,45.964075,67.80155
54.151525,47.53405,47.393225,82.9645,51.664925,45.980275,67.852175
54.186875,47.5499,47.41225,82.99125,51.693325,45.988525,67.90405
54.22085,47.5693,47.4234,83.289875,51.70775,45.999375,68.018475
