SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11d,SPK_SPKC12a,SPK_SPKC13b,SPK_SPKC14a
223.6536,219.827325,206.1168,293.763875,213.55845,230.192375,207.2091
223.813625,220.36495,206.137675,293.998825,213.5932,230.21675,207.2194
223.912425,220.376025,206.151725,294.954575,213.606075,230.23345,207.26805
223.948275,220.44345,206.171,295.1601,213.69435,230.296575,207.27685
223.984775,220.4515,206.196925,295.45285,213.72125,230.327275,207.365075
223.99245,220.458225,206.216375,295.65515,213.74345,230.38645,207.405475
224.02555,220.49315,206.3023,296.362825,213.758525,230.465525,207.44625
224.14915,220.56495,206.315425,296.766675,213.780225,230.4903,207.47
224.191875,220.581675,206.3201,297.1695,213.7969,230.56655,207.488825
224.2514,220.606325,206.3383,297.6498,213.81355,230.74755,207.5022
224.280375,220.6231,206.355125,297.99455,213.8318,230.83855,207.52605
224.38155,220.649125,206.402475,298.002225,213.873925,230.88605,207.534375
224.443325,220.7009,206.409325,299.585375,213.93455,230.901625,207.554425
224.447475,220.706525,206.4528,300.40445,213.9792,230.962475,207.577575
224.514925,220.728075,206.4766,302.15,214.051475,231.0606,207.59825
224.590675,220.768375,206.478775,302.497575,214.067025,231.0998,207.635975
224.6343,220.7832,206.50715,302.5194,214.081425,231.175125,207.686175
224.78495,220.87265,206.54305,303.272525,214.110225,231.269625,207.729825
224.86765,220.915225,206.563125,303.2805,214.113425,231.423475,207.76345
225.0972,220.9802,206.582225,303.4515,214.125025,231.4951,207.8544
225.19755,221.011225,206.62075,303.858175,214.13955,231.74125,207.879425
225.361075,221.077675,206.628425,304.371775,214.162125,231.826175,207.90975
