SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC11a,SPK_SPKC13b
169.53065,140.84235,114.535125,167.2439
169.55345,140.8882,114.558425,167.28105
169.626775,140.92345,114.587125,167.53085
169.713775,140.987175,114.6285,167.6076
169.7445,141.0431,114.690475,167.626875
169.944775,141.061375,114.71285,167.65675
170.062975,141.0791,114.7223,167.72405
170.091175,141.0981,114.74035,168.0335
170.19295,141.11255,114.74855,168.051425
170.304925,141.13225,114.75795,168.0725
170.596625,141.217375,114.76585,168.1721
170.707675,141.226125,114.780275,168.182925
170.91795,141.28655,114.7914,168.3073
170.94645,141.30855,114.81095,168.45525
171.0243,141.3509,114.820825,168.481575
171.096425,141.361075,114.835975,168.5245
171.1831,141.40515,114.8447,168.69635
171.255175,141.41285,114.85815,168.717475
171.368125,141.429,114.87305,168.892275
171.59515,141.440225,114.88605,169.51595
171.681825,141.453025,114.9045,169.540575
171.792225,141.498575,114.941275,169.6539
171.8606,141.50855,114.982,169.67485
172.234225,141.55255,114.995825,169.691425
172.29525,141.563375,115.031875,169.7961
172.66045,141.589875,115.05305,169.85755
172.7941,141.674925,115.0691,169.89965
172.823625,141.687925,115.088725,169.94985
172.872075,141.769575,115.103175,169.973075
