SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
117.2189,113.758625,108.050175,123.692575,132.226075,116.99295,106.67755
117.288925,113.7952,108.07675,123.78745,132.28315,117.09285,106.689875
117.335025,113.86225,108.0992,123.817125,132.294025,117.107475,106.705275
117.397475,113.926375,108.130225,123.872525,132.329,117.2078,106.723075
117.451725,113.965125,108.1604,123.89675,132.51705,117.405525,106.74095
117.50005,114.010725,108.237325,124.102,132.705225,117.44285,106.79735
117.52545,114.04295,108.37135,124.167,133.273675,117.520525,106.8148
117.57955,114.13385,108.381825,124.25805,133.298125,117.54965,106.829975
117.684875,114.23215,108.428,124.296325,133.3166,117.554175,106.85685
117.737175,114.27935,108.4551,124.320025,133.664275,117.6052,106.885275
117.835,114.298,108.473525,124.443375,133.870875,117.65305,106.91295
117.89455,114.324025,108.49355,124.563575,133.935575,117.70825,106.94755
117.906025,114.360825,108.50615,124.640625,133.944075,117.7149,107.003375
117.9397,114.8,108.536275,124.659825,133.957225,117.767375,107.029375
117.99325,114.836425,108.568975,124.679125,134.111025,117.846325,107.0531
118.090675,114.867975,108.595075,124.7234,134.1806,117.849525,107.080175
118.13725,114.8812,108.621475,124.9256,134.351775,117.85725,107.1016
118.165925,114.902425,108.647675,124.991975,134.38125,117.864325,107.142
118.3415,114.916175,108.698625,125.095425,134.631325,117.9069,107.163
118.471025,114.92825,109.051975,125.11505,134.665875,117.95245,107.217175
118.484675,114.93705,109.094375,125.127675,134.71365,118.00935,107.235475
118.536175,114.954275,109.116875,125.16375,134.94835,118.040125,107.273625
118.630425,114.966675,109.13085,125.1818,136.155025,118.0882,107.318425
118.806875,114.987025,109.1543,125.2898,136.389575,118.261975,107.34155
118.86295,115.0062,109.1779,125.314275,136.417975,118.5688,107.354225
118.912375,115.049175,109.19065,125.388125,136.486875,118.750325,107.3833
118.954975,115.075725,109.203425,125.42345,136.588275,118.921325,107.406975
118.988625,115.107625,109.241475,125.45065,136.8301,119.07165,107.425975
119.0704,115.459625,109.37225,125.5135,136.858575,119.1296,107.440625
119.0979,115.487225,109.52885,125.573825,136.922625,119.222,107.450675
119.1398,115.530175,109.5528,125.5982,136.924025,119.237375,107.4711
119.18815,115.58565,109.56115,125.603425,137.017875,119.291175,107.4892
119.23825,115.606825,109.576775,125.620025,137.0529,119.31605,107.519325
119.2867,115.6235,109.578275,125.676,137.1956,119.38645,107.546075
119.32885,115.65605,109.5943,125.7222,137.242125,119.3882,107.5946
119.4665,115.6866,109.60055,125.82825,137.247175,119.420075,107.623275
119.473025,115.759525,109.60905,125.915325,137.573575,119.576175,107.6485
119.509,115.7744,109.616075,126.372175,137.64475,119.609125,107.66825
119.588325,115.800975,109.659125,126.393225,137.7162,119.7864,107.7063
119.663875,115.8228,109.670775,126.4592,137.754175,119.8621,107.729225
119.716225,115.865625,109.717975,126.48815,137.755475,119.935225,107.74715
119.7756,116.08615,109.728,126.683325,137.946725,119.956725,107.76895
119.807275,116.24815,109.7408,126.7177,138.31125,120.03065,107.793825
119.910925,116.2703,109.7595,126.844725,138.5811,120.1721,107.800475
119.945,116.301,109.77385,127.1332,138.91775,120.2021,107.812525
120.007475,116.320925,109.8377,127.233875,139.2202,120.24945,107.825
120.062375,116.3427,109.8615,127.2392,139.26265,120.3364,107.833825
120.0899,116.3593,109.915425,127.3661,139.291,120.368675,107.84395
120.10185,116.4029,110.01965,127.511425,139.30625,120.378225,107.85655
120.181325,116.432975,110.164825,127.812625,139.363475,120.38075,107.867125
120.269325,116.4511,110.1825,127.953875,139.59735,120.418225,107.87555
120.313525,116.4676,110.185075,128.042175,139.664125,120.4857,107.888375
120.4499,116.482025,110.195075,128.148825,139.706,120.5529,107.911175
120.455725,116.5018,110.27335,128.479025,139.85275,120.6807,107.93315
120.50675,116.5311,110.4021,128.638125,139.896325,120.7256,107.9483
120.555075,116.563075,110.509,128.657925,140.0082,120.738625,107.9964
120.595075,116.593125,110.574375,128.675975,140.0605,120.8103,108.02385
120.69345,116.60075,110.5971,128.7082,140.15005,120.828825,108.0698
120.901325,116.68155,110.6144,128.725175,140.328825,120.856725,108.106725
120.918375,116.902175,110.624925,128.770675,140.60005,120.906175,108.145675
121.04875,116.954825,110.6355,128.791075,140.636675,121.087325,108.1676
121.338425,116.977825,110.64705,128.8084,140.7063,121.14225,108.187425
121.34535,117.005025,110.6532,128.830125,140.732025,121.14325,108.215025
121.416225,117.0389,110.663475,128.9172,140.8014,121.22025,108.233275
121.45035,117.0731,110.677875,128.935375,140.80325,121.29055,108.26705
