SPK_SPKC02a (no effect),SPK_SPKC02b (weak excitation),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect)
8.982925,90.995375,30.4944,23.57505
8.99345,91.02275,30.5574,23.623275
9.015675,91.3539,30.65305,23.652775
9.0453,91.439225,30.71095,23.73785
9.063625,91.5361,30.75025,23.74615
9.08055,91.6772,30.786025,23.7905
9.09605,91.7233,30.837875,23.827775
9.112925,91.90775,30.9573,23.838175
9.133775,91.914175,31.038975,23.8871
9.14395,91.9614,31.061875,23.9057
9.16585,92.0385,31.0865,23.936175
9.191625,92.562975,31.132275,23.95775
9.20325,92.773625,31.22025,23.971175
9.213025,92.8592,31.2583,24.02195
9.228,92.928525,31.2981,24.035875
9.249475,93.277375,31.35315,24.106075
9.26555,93.426825,31.375975,24.14915
9.2757,93.544325,31.40405,24.159425
9.2877,93.769125,31.478425,24.19455
9.317675,93.842675,31.591025,24.2158
9.3241,93.906475,31.622175,24.27
9.3376,94.033775,31.67685,24.2934
9.346225,94.32465,31.706525,24.297675
9.38325,94.408075,31.729325,24.357225
9.3899,94.4657,31.78235,24.396975
9.402925,94.510525,31.80515,24.40195
9.43475,95.02255,31.830425,24.467725
9.4497,95.05515,31.882625,24.54585
9.506375,95.265375,31.934975,24.5879
9.533075,95.281,32.003675,24.607925
9.5699,95.332025,32.0562,24.614525
9.583725,95.398375,32.10715,24.662525
9.597525,95.865175,32.137275,24.6846
9.612525,96.104325,32.297725,24.696
9.62845,96.194,32.31675,24.7232
9.6515,96.211275,32.339575,24.7654
9.6629,96.28235,32.373075,24.789275
9.68185,96.33245,32.394775,24.80935
9.69065,96.376,32.435825,24.84235
9.698125,96.6586,32.540275,24.922925
9.7081,97.059475,32.58675,24.950675
9.720675,97.13995,32.63225,24.954925
9.752825,97.22395,32.659925,24.988
9.760475,97.4934,32.67855,25.02155
9.815125,97.499625,32.682625,25.04865
9.833775,97.561025,32.7097,25.060925
9.8484,97.658825,32.774375,25.09995
9.858625,97.91495,32.8458,25.150325
9.8764,97.965825,32.890025,25.1699
9.87995,98.105425,32.92455,25.2055
9.90055,98.107125,32.954875,25.2814
9.9393,98.166375,32.980225,25.287375
9.962025,98.241275,33.047225,25.345725
9.98475,98.531475,33.095475,25.364625
9.99485,98.768475,33.118725,25.47345
10.01555,98.872875,33.2024,25.561875
10.029525,98.876225,33.30305,25.590075
10.04765,98.958875,33.3351,25.67695
10.05595,99.097125,33.417,25.74155
10.0765,99.16635,33.436075,25.7573
10.09105,99.2558,33.4709,25.77665
10.109825,99.552875,33.535025,25.83025
10.1178,99.8729,33.7086,25.848575
10.135425,99.9079,33.7547,25.8611
10.14435,99.987825,33.89995,25.9417
10.1606,100.2137,33.942725,25.96145
10.182925,100.671025,33.990375,26.037
10.19255,100.83475,34.098225,26.0564
10.20775,100.912675,34.17425,26.0997
10.232975,100.9283,34.21805,26.186875
10.24975,101.3262,34.24315,26.2157
10.26305,101.854875,34.2778,26.24165
10.286175,102.13795,34.30115,26.2517
10.299575,102.230475,34.35575,26.302625
10.3124,102.358375,34.3938,26.466425
10.322,102.710175,34.414125,26.511325
10.3547,103.043975,34.42595,26.53685
10.370875,103.216375,34.4483,26.61015
10.394525,103.4874,34.47225,26.639125
10.40545,103.611275,34.528125,26.6755
10.4134,103.677775,34.573675,26.680875
10.419325,103.746125,34.60085,26.7034
10.441825,103.808975,34.619825,26.72265
10.475125,104.3942,34.747375,26.765825
10.504825,104.470975,34.75745,26.784375
10.519775,104.572425,34.77935,26.802
10.534075,104.838325,34.80895,26.8088
10.5517,104.94235,34.840475,26.82175
10.568525,105.082575,34.870525,26.932625
10.582175,105.24645,34.898675,26.970925
10.605075,105.67595,34.9829,27.016025
10.613675,105.718425,35.024025,27.0296
10.6274,105.956775,35.05555,27.098875
10.66635,106.22205,35.116075,27.1167
10.67995,106.32905,35.16105,27.1275
10.713175,106.4149,35.34395,27.1341
10.731675,106.478475,35.3625,27.23325
10.749325,106.530525,35.415125,27.31735
10.766,106.60915,35.449025,27.403025
10.7832,106.97405,35.5114,27.468575
10.81405,107.18885,35.549475,27.480375
10.850825,107.5284,35.608975,27.56215
10.8638,107.68565,35.648975,27.584975
10.88635,107.7572,35.674675,27.60745
10.903175,107.8653,35.7087,27.643325
10.913675,107.938925,35.7419,27.661425
10.925175,108.116075,35.774125,27.688075
10.9529,108.2737,35.8348,27.887975
10.9641,108.336675,35.920475,27.900525
10.998175,108.72805,36.0547,27.959475
11.017875,108.7721,36.08015,28.017425
11.05165,108.9915,36.14985,28.02305
11.065525,109.077225,36.1953,28.0948
11.077775,109.2485,36.218025,28.13205
11.09115,109.37085,36.23495,28.1369
11.109375,109.59495,36.292075,28.256225
11.1503,110.112525,36.311725,28.30565
11.17055,110.4959,36.40145,28.402025
11.188575,111.147725,36.424,28.41935
11.22265,111.203275,36.4609,28.428575
11.23765,111.9529,36.462175,28.49765
11.25185,112.3276,36.60425,28.50095
11.2638,112.387275,36.6419,28.5804
11.281225,112.4669,36.666075,28.6094
11.283575,112.65035,36.70865,28.622525
