SPK_SPKC02a (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC16a (short inhibition)
,11.734975,97.01085,7.190725
,11.74995,97.106225,7.19485
,11.7585,97.25255,7.19965
,11.7724,97.59185,7.20995
,11.7858,97.95505,7.21435
,11.794825,98.161425,7.22265
,11.812,98.49655,7.230925
,11.82135,98.734575,7.234175
,11.841525,98.915375,7.24335
,11.863325,99.285,7.247175
,11.88315,99.47485,7.255425
,11.9035,99.48915,7.2705
,11.92325,99.659375,7.275
,11.9441,99.72095,7.278825
,11.963525,99.8238,7.281675
,11.981325,99.866425,7.285875
,11.999275,99.954825,7.29265
,12.025975,100.052925,7.2956
,12.04795,100.4378,7.301
,12.067,100.95325,7.309025
,12.088825,100.962825,7.3182
,12.1024,100.984875,7.322775
,12.1157,101.586275,7.3381
,12.128725,101.72085,7.351775
,12.140475,101.76405,7.36385
,12.1569,101.789725,7.379675
,12.1723,101.8797,7.389
,12.1897,102.00685,7.396875
,12.203425,102.051625,7.40155
,12.217025,102.335575,7.4096
,12.2288,102.46945,7.4157
,12.24205,102.474975,7.42305
,12.263075,102.564,7.42865
,12.274875,102.712725,7.4323
,12.295625,103.14395,7.4366
,12.30805,103.1562,7.4402
,12.3316,103.2701,7.444825
,12.35115,103.5477,7.44935
,12.370075,103.731125,7.457525
,12.40535,103.859175,7.462375
,12.4264,103.958875,7.468875
,12.45145,104.057825,7.477475
,12.476575,104.2243,7.483825
,12.496275,104.34035,7.4952
,12.521675,104.6076,7.50235
,12.540125,104.833075,7.514525
,12.566975,104.87195,7.526525
,12.581025,105.0193,7.54575
,12.599975,105.03995,7.568775
,12.617225,105.170025,7.581125
,12.642,105.295475,7.59795
,12.660025,105.328575,7.62245
,12.676325,105.354275,7.65985
,12.6966,105.431275,7.680375
,12.714,105.472675,7.7056
,12.735275,105.87315,7.733925
,12.750825,106.319775,7.76055
,12.767375,106.478725,7.7805
,12.783575,106.531275,7.79905
,12.80115,106.5712,7.810825
,12.821775,106.60635,7.82345
,12.842025,106.671175,7.82955
,12.86255,106.7392,7.83355
,12.882825,107.0309,7.841175
,12.901775,107.152975,7.84875
,12.922525,107.69265,7.85415
,12.93895,107.77485,7.858625
,12.954875,107.9075,7.863425
,12.9672,108.126225,7.866225
,12.9818,108.3703,7.8705
,12.9982,108.614225,7.873525
,13.01835,108.712825,7.87695
,13.03385,108.79985,7.879675
,13.04435,108.807725,7.88225
,13.0642,109.17425,7.884975
,13.077825,109.211925,7.8891
,13.093275,109.3212,7.892525
,13.112325,109.947925,7.895025
,13.1317,109.986075,7.8974
,13.145625,110.40155,7.899675
,13.16475,110.483075,7.902
,13.18375,110.532875,7.9041
,13.1996,110.5924,7.906525
,13.220625,110.680275,7.909075
,13.236075,110.918825,7.9116
,13.25585,111.125875,7.9137
