SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
,36.66155,111.784225,98.835975,20.845775,,5.6421,31.2461
,36.795,112.1589,98.963725,20.84905,,5.646875,31.413425
,37.009075,113.726325,99.12055,20.871425,,5.650375,31.43585
,37.094125,114.3983,99.166075,21.025975,,5.659325,31.446175
,37.101725,114.472525,99.181275,21.186325,,5.665225,31.478825
,37.30765,114.47995,99.314175,21.19885,,5.67325,31.61915
,37.350325,116.47325,99.321325,21.2369,,5.6839,31.6262
,37.379625,116.616225,99.325825,21.27815,,5.69065,31.6349
,37.480425,116.653225,99.449275,21.3379,,5.6988,31.6423
,37.543275,117.146025,99.696125,21.353775,,5.72915,31.70995
,37.71245,117.22725,99.9717,21.397725,,5.753175,31.72465
,37.735525,117.6224,100.250275,21.461775,,5.779375,31.918925
,37.83265,117.77365,100.42555,21.51015,,5.790275,32.275425
,37.863225,118.2036,100.44915,21.517125,,5.823975,32.39745
,38.044125,118.2665,100.48415,21.590975,,5.839675,32.410325
,38.17985,118.28945,100.64295,21.673925,,5.861975,32.5327
,38.302775,118.656675,100.757225,21.69315,,5.878475,32.560825
,38.4937,118.7156,101.016425,21.742375,,5.909775,32.57445
,38.5123,119.74475,101.050575,21.818925,,5.9271,32.724275
,38.559925,120.37245,101.057925,22.0065,,5.938875,32.824475
,38.866275,120.631775,101.289325,22.046025,,5.98265,32.8412
,38.900725,121.30435,101.426925,22.06665,,6.009225,32.890025
,38.90595,122.26905,101.4802,22.071,,6.0384,32.8965
,38.93135,122.335525,101.681475,22.0812,,6.099225,32.9296
,38.963925,123.21545,101.7918,22.105575,,6.1212,33.53495
,39.092675,123.800425,101.799725,22.249775,,6.13235,33.808075
,39.14105,124.46475,101.870325,22.321475,,6.143725,33.95095
,39.159325,124.6219,102.09175,22.356975,,6.151625,34.16055
,39.203425,125.336675,102.13215,22.388725,,6.16245,34.287125
,39.25895,126.752125,102.22385,22.4572,,6.1675,34.2909
,39.7646,127.34475,102.38745,22.465825,,6.173475,34.309
,39.773625,127.9076,102.509325,22.49445,,6.18945,34.362725
,39.812675,127.99995,102.58565,22.504925,,6.22185,34.408175
